artist,date,title,source
Katherine Bradford,2021,Queens of the Night ,mta_all
Nick Cave,2021,"Each One, Every One, Equal All ",mta_all
Jackie Ferrara,2000,"Grand Central: Arches, Towers, Pyramids ",mta_all
Jim Hodges,2021,I dreamed a world and called it Love ,mta_all
Museum of Modern Art (MoMA),2019,53rd Street Art Stop ,mta_all
Nancy Blum,2019,ROAMING UNDERFOOT ,mta_all
Diana Al-Hadid,2018,The Arches of Old Penn Station; The Arc of Gradiva ,mta_all
Ann Hamilton,2018,CHORUS ,mta_all
Derek Fordjour,2018,PARADE ,mta_all
Firelei Báez,2018,"Ciguapa Antellana, me llamo sueño de la madrugada (who more sci-fi than us) ",mta_all
Joyce Kozloff,2018,Parkside Portals ,mta_all
William Wegman,2018,Stationary Figures ,mta_all
Christopher Wynter,1999,Migration ,mta_all
Yoko Ono,2018,SKY ,mta_all
Alex Katz,2018,Metropolitan Faces ,mta_all
Tomo Mori,2017,The Wheels on the Bus ,mta_all
Jean Shin,2017,Elevated ,mta_all
Chuck Close,2017,Subway Portraits ,mta_all
Vik Muniz,2017,Perfect Strangers ,mta_all
Sarah Sze,2017,Blueprint for a Landscape ,mta_all
Xenobia Bailey,2015,Funktional Vibrations ,mta_all
"James Carpenter Design Associates, Grimshaw Architects and ARUP",2014,Sky Reflector-Net ,mta_all
Shinique Smith,2013,Mother Hale's Garden ,mta_all
Wopo Holup,2013,Birds in Flight-Moon View ,mta_all
Leo Villareal,2012,Hive (Bleecker Street) ,mta_all
James Garvey,2011,Lariat Tapers ,mta_all
Antenna Design New York,2010,Bloemendaal ,mta_all
Doug & Mike Starn,2009,"See it split, see it change ",mta_all
Sol LeWitt,2009,Whirls and twirls (MTA) ,mta_all
Jane Dickson,2008,Revelers ,mta_all
Robert Blackburn,2005,In Everything There Is A Season ,mta_all
Jack Beal,2005,The Return of Spring/The Onset of Winter ,mta_all
Toby Buonagurio,2005,Times Square Times: 35 Times ,mta_all
Robert Kushner,2004,4 Seasons Seasoned ,mta_all
Peter Sis,2004,Happy City ,mta_all
Al Held,2004,Passing Through ,mta_all
Ming Fay,2004,"Shad Crossing, Delancey Orchard ",mta_all
Janet Zweig and Edward del Rosario,2004,Carrying On ,mta_all
Raúl Colón,2003,Primavera ,mta_all
Valerie Maynard,2003,Polyrhythmics of Consciousness and Light ,mta_all
Lisa Dinhofer,2003,Losing my Marbles ,mta_all
Robert Hickman,2002,Laced Canopy ,mta_all
Max Neuhaus,2002,Times Square ,mta_all
Roy Lichtenstein,2002,Times Square Mural ,mta_all
Samm Kunce,2002,Times Square Under Bryant Park ,mta_all
Keith Godard,2002,Memories of Twenty-Third Street ,mta_all
Mark Hadjipateras,2002,City Dwellers (for Costas and Maro) ,mta_all
Timothy Snell,2002,Broadway Diary ,mta_all
Nancy Spero,2001,"Artemis, Acrobats, Divas and Dancers ",mta_all
Eric Fischl,2001,The Garden of Circus Delights ,mta_all
Walter Martin and Paloma Muñoz,2001,A Gathering ,mta_all
Tom Otterness,2001,Life Underground ,mta_all
Jacob Lawrence,2001,New York in Transit ,mta_all
Frank Giorgini,2000,Passages ,mta_all
Frederick Dana Marsh,1913,Marine Grill Murals ,mta_all
Arts for Transit Collaborative,2000,For Want of a Nail ,mta_all
Christopher Sproat,2000,V-Beam ,mta_all
Vincent Smith,1999,"Minton’s Playhouse (uptown), The Movers and Shakers (downtown) ",mta_all
Sheila Levrant de Bretteville,1999,At the Start… At Long Last ,mta_all
Elizabeth Grajales,1998,When the animals speak… ,mta_all
Maren Hassinger,1998,Message from Malcolm ,mta_all
Andrew Ginzel & Kristin Jones,1998,Oculus ,mta_all
Mary Miss,1998,Framing Union Square ,mta_all
Bing Lee,1998,Empress Voyage 2.22.1794 ,mta_all
James Garvey,1997,Lariat Seat Loops ,mta_all
Mel Chin,1997,Signal ,mta_all
Ann Schaumburger,1997,Urban Oasis ,mta_all
Margie Hughto,1997,"Trade, Treasure and Travel ",mta_all
Manuel Vega,1996,Sábado en la Ciento Diez (Saturday on 110th Street) ,mta_all
Faith Ringgold,1996,Flying Home: Harlem Heroes and Heroines (Downtown and Uptown) ,mta_all
Elizabeth Murray,1996,Blooming ,mta_all
Mark Gibian,1996,Cable Crossing ,mta_all
Christopher Janney,1996,"Reach New York, An Urban Musical Instrument ",mta_all
Willie Birch,1995,Harlem Timeline ,mta_all
Ralph Fasanella,1995,Subway Riders ,mta_all
Deborah Brown,1994,Platform Diving ,mta_all
Lee Brozgol,1994,The Greenwich Village Murals ,mta_all
Liliana Porter,1994,Alice: The Way Out ,mta_all
Laura Bradley,1994,City Suite ,mta_all
Josh Scharf,1994,Carnegie Hall Montage ,mta_all
David Provan,1992,Yab-Yum ,mta_all
R. M. Fischer,1992,Brooklyn-Battery Tunnel Clock ,mta_all
Michelle Greene,1991,Railrider’s Throne ,mta_all
Norman B. Colp,1991,The Commuter's Lament or A Close Shave ,mta_all
Michele Oka Doner,1991,Radiant Site ,mta_all
Nicholas Pearson,1991,Halo ,mta_all
Nitza Tufiño,1990,Neo-Boriken ,mta_all
Harry Roseman,1990,Subway Wall ,mta_all
Dan Sinclair,1990,Fast Track and Speedwheels ,mta_all
Nitza Tufiño,1989,Westside Views ,mta_all
Matt Mullican,1989,Untitled ,mta_all
Valerie Jaudon,1988,Long Division ,mta_all
Nina Yankowitz,1988,Tunnel Vision ,mta_all
Steve Wood,1988,Fossils ,mta_all
Nancy Holt,1987,Astral Grating ,mta_all
Milton Glaser,1986,Untitled ,mta_all
Houston Conwill,1986,The Open Secret ,mta_all
Marcel Dzama,2021,No Less Than Everything Comes Together ,mta_all
María Berrío,2019,There Is Magic Underneath It All ,mta_all
Andrea Dezsö,2019,Nature Wall ,mta_all
Emilio Perez,2019,Fluxus / Rhythmus ,mta_all
David Storey,2019,Sea City Spin ,mta_all
Olalekan Jeyifous,2019,Made With Love ,mta_all
Eamon Ore-Giron,2019,People's Instinctive Travels: Homage to the Tribe ,mta_all
Kambui Olujimi,2018,Where the Sky Begins ,mta_all
Julien Gardair,2018,We are each others ,mta_all
Jackie Battenfield,2018,Tree Canopy ,mta_all
Andrea Belag,2018,Brooklyn Transitions ,mta_all
Lisa Sigal,2018,Push/Pull ,mta_all
Leslie Wayne,2018,Neptune's Garden ,mta_all
Karen Margolis,2018,Cerebration ,mta_all
Sally Gil,2018,Edges of a South Brooklyn Sky ,mta_all
Nancy Baker,2017,Chandelier / Ailthanus ,mta_all
Béatrice Lebreton,2017,Wisdom Along the Way ,mta_all
Saya Woolfalk,2017,Urban Garden Rail ,mta_all
Mickalene Thomas,2017,Untitled ,mta_all
Derek Lerner,2017,AVEX1-6(station) ,mta_all
Monika Bravo,2017,Duration ,mta_all
Katy Fischer,2017,Strata ,mta_all
Cara Lynch,2016,Inheritance: In Memory of American Glass ,mta_all
Alyson Shotz,2013,Nautical Charts – Gowanus & Red Hook from 1733-1922; Fathom Points + Compass Bearings ,mta_all
George Bates,2013,Generation Dynamica ,mta_all
Cal Lane,2013,The Digs ,mta_all
Amy Cheng,2012,Rediscovery ,mta_all
Andrea Dezsö,2012,Nature Rail ,mta_all
Joan Linder,2012,The Flora of Bensonhurst ,mta_all
Portia Munson,2012,Gardens of Fort Hamilton Parkway Station ,mta_all
Odili Donald Odita,2012,Kaleidoscope ,mta_all
Christopher Russell,2012,Bees for Sunset Park ,mta_all
Francesco Simeti,2012,Bensonhurst Gardens ,mta_all
Xin Song,2012,Tree Of Life ,mta_all
Susanna Starr,2012,A Continuous Thread ,mta_all
Dan Zeller,2012,Internal Connectivity ,mta_all
Ed Kopel,2012,Brooklyn Bucolic ,mta_all
Rita MacDonald,2011,Bird Laid Bare ,mta_all
Jason Middlebrook,2011,Brooklyn Seeds ,mta_all
Mary Temple,2011,"West Wall, East Light, Morning ",mta_all
Amy Bennett,2011,Heydays ,mta_all
Deborah Masters,2010,Coney Island Reliefs ,mta_all
Ben Snead,2009,Departures and Arrivals ,mta_all
Bill Brand,2008,Masstransiscope ,mta_all
Sol'Sax,2008,SOL'SCRYPT ,mta_all
Amy Cheng,2007,Las Flores ,mta_all
Barbara Ellmann,2007,The View from Here ,mta_all
Jung Hyang Kim,2007,Wheel of Bloom-Soak up the Sun ,mta_all
Margaret Lanzetta,2007,Culture Swirl ,mta_all
Scott Redden,2007,Untitled ,mta_all
Michael Ingui,2007,Crescendo ,mta_all
Takayo Noda,2007,The Habitat for the Yellow Bird ,mta_all
Eugenie Tung,2007,16 Windows ,mta_all
Philemona Williamson,2007,Seasons ,mta_all
Robin Holder,2006,Migration ,mta_all
Cadence Giersbach,2006,From Earth to Sky ,mta_all
Stephen Johnson,2005,DeKalb Improvisation ,mta_all
Vito Acconci (Acconci Studio),2005,Wavewall ,mta_all
Arts for Transit Collaborative,2004,New York City Architectural Artifacts from the Collection of the Brooklyn Museum ,mta_all
George Trakas,2004,"Hook (Archean Reach), Line (Sea House), and Sinker (Mined Swell) ",mta_all
Hugo Consuegra,2004,Good Morning and Good Night ,mta_all
Robert Wilson,2004,My Coney Island Baby ,mta_all
Michael Krondl,2004,Looking Up ,mta_all
Ellsworth Ausby,2004,Space Odyssey ,mta_all
Ron Calloway,2002,Euphorbias ,mta_all
Annette Davidek,2002,Roundlet Series ,mta_all
Mara Held,2002,El in 16 Notes ,mta_all
Maria Dominguez,2002,El Views ,mta_all
Chris Wade Robinson,2002,Dream Train ,mta_all
Louis Delsarte,2001,Transitions ,mta_all
