title,artist,created,date,creditline,source
Mat,,c. 1930-40,,Given anonymously,Documents/info664project/moma.csv
Monika,David Prifti,1987,1988,E.T. Harmax Foundation Fund,Documents/info664project/moma.csv
Marlboro (2),Monica Bonvicini,1995,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Memphis textiles,Michele De Lucchi,c.1981,2015,Committee on Architecture and Design Funds,Documents/info664project/moma.csv
Preparatory drawing for In Memory of My Feelings,Philip Guston,1967,,Gift of the artist,Documents/info664project/moma.csv
Memphis textiles,Daniele Scandola,c.1981,2015,Committee on Architecture and Design Funds,Documents/info664project/moma.csv
Interlacing Album (Kindergarten material based on the educational theories of Friedrich Froebel),Rose A. Craigan,c. 1915,2011,Gift of Lawrence Benenson,Documents/info664project/moma.csv
My Voice Would Reach You,Meiro Koizumi,2009,2013,Fund for the Twenty-First Century,Documents/info664project/moma.csv
"Plate 9 from L'AVANGUARDIA INTERNAZIONALE, Volume 1/L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",Hisao Domoto,1962,1964,Gift of Peter H. Deitsch,Documents/info664project/moma.csv
Art & Project Bulletin #112,Daan van Golden,1979,2007,Art & Project/Depot VBVR Gift,Documents/info664project/moma.csv
Program for Anxiety (L'Inquiétude) and Eternal lovers (Amants éternels) from The Beraldi Album of Theatre Programs,Henri Gerbault,1893,2008,"Johanna and Leslie J. Garfield Fund, Mary Ellen Oldenburg Fund, and Sharon P. Rockefeller Fund",Documents/info664project/moma.csv
Barlach II,Otto Pankok,1943,1947,Purchase,Documents/info664project/moma.csv
Visual Dynamics,Toni Costa,1963,1965,Larry Aldrich Foundation Fund,Documents/info664project/moma.csv
The Black Star,Seher Shah,2007,2008,Fund for the Twenty-First Century,Documents/info664project/moma.csv
Periscopio Adjustable Table Lamp,"Danilo Aroldi, Corrado Aroldi",1968,1971,Gift of the manufacturer,Documents/info664project/moma.csv
Exposition 150 Anniversaire de la Creation des Postes Genevoises 1830-1980,J. Van Der Wal,1980,1994,Gift of Leonard A. Lauder,Documents/info664project/moma.csv
"Untitled for the Museum in Progress project Symposia: Art, Society and Media","Susan Hapgood, Kim Sooja","(newspaper published: August 9, 1996)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Portrait of Manguin,Gwen John,(n.d.),1958,Gift of Miss Georgette Passedoit,Documents/info664project/moma.csv
Houndina,Victoria Gil,-1992,1993,Purchase,Documents/info664project/moma.csv
Untitled,Virginia Overton,2011,2012,Acquired through the generosity of Katharina Faerber,Documents/info664project/moma.csv
Schoolyard,Aernout Mik,2009,2011,"Gift of The Contemporary Arts Council of The Museum of Modern Art, The Netherlands Foundation for the Visual Arts, Design and Architecture, and carlier | gebauer, Berlin",Documents/info664project/moma.csv
Chort palenyi,N. K.,1919,2001,Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),Documents/info664project/moma.csv
Jason Chair,Carl Jacobs,1950,2000,Gift of the manufacturer,Documents/info664project/moma.csv
Two Poles,Peter Downsbrough,1974,2011,"Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",Documents/info664project/moma.csv
AT SCHOONER HEAD,Bill Hanson,1961,1965,Purchase,Documents/info664project/moma.csv
"Die Aktion, vol. 6, no. 22/23",Georg Alexander Mathéy,3-Jun-16,2010,Committee on Prints and Illustrated Books Fund and The Library Council,Documents/info664project/moma.csv
Montral (Landscape),Maurice de Vlaminck,1913,1940,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
Juice Glass,"Nybro, Sweden",Before 1946,1947,Gift of Sweden House,Documents/info664project/moma.csv
Sheffield Series No. 4,John A. Davies,1981,1983,Purchase,Documents/info664project/moma.csv
"Staatsgalerie Stuttgart, Stuttgart, Germany, Elevation of gallery entrance",James Stirling,1978,1982,Gift of the architect,Documents/info664project/moma.csv
Metaprint XII from the series Metamorphs: Forms of Metaphor,Todd Siler,1988,1989,Gift of Gabrielle and Herbert Kayden,Documents/info664project/moma.csv
Merce by Merce by Paik Part One: Blue Studio: Five Segments,"Charles Atlas, Merce Cunningham",1975-1976,1979,Acquired through the generosity of Barbara Pine,Documents/info664project/moma.csv
Star of Stones,"Unidentified photographer, René Magritte",1935,2013,"Acquired through the generosity of The Buddy Taub Foundation, Dennis A. Roach and Jill Roach, Directors",Documents/info664project/moma.csv
High Water,David Shaw,2004,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Chit Chat,Tala Madani,2007,2015,Fund for the Twenty-First Century,Documents/info664project/moma.csv
Bull,Renato Guttuso,1949,1949,Purchase,Documents/info664project/moma.csv
"""Earthquake in Northern California""",Kent Porter/The Press Democrat via Assocated Press,17-Oct-89,2001,The New York Times Collection,Documents/info664project/moma.csv
Perpetual ZOOZ (Madonna and Child),Michael Joaquin Grey,2005/2009,2009,Fund for the Twenty-First Century,Documents/info664project/moma.csv
ILIAzDE,Ilia Zdanevich,1922,1985,Arthur A. Cohen Purchase Fund,Documents/info664project/moma.csv
Samarkandiia. Iz putevykh nabroskov 1921 g.,Kuzma Petrov-Vodkin,1923,2001,Gift of The Judith Rothschild Foundation,Documents/info664project/moma.csv
"The Beauty of Yesteryear (Belle d'Antan) from L'Estampe Moderne, Number 8",L. Levy-Dhurmer,published December 1897,1958,Mr. and Mrs. E. Powis Jones Fund,Documents/info664project/moma.csv
Newtown Pippin Apples,H.H. Blakesly,c. 1925,2007,Gift of Jeffrey Fraenkel in memory of John Szarkowski,Documents/info664project/moma.csv
"Homelessness At Work (plate, folio 22) from Your House Is Mine","Dennis Thomas, Day Gleeson",1991,1993,The Ralph E. Shikes Fund,Documents/info664project/moma.csv
Tower and Tank,Herman Rose,1947,1949,Purchase,Documents/info664project/moma.csv
Jeep M-38A1 Utility Truck,"Willys-Overland Motors, Inc., Toledo, Ohio",designed 1952 (this example 1953),2002,Gift of DaimlerChrysler Corporation Fund,Documents/info664project/moma.csv
The Song of the Shirt,Gary Metz,1967,1969,John B. Turner Fund,Documents/info664project/moma.csv
Triangle Between Infinites,Tchah-Sup Kim,1976,1976,Carol O. Selle Fund,Documents/info664project/moma.csv
"The Lord Provides from The American Scene, no. 1",Jacob Burck,"1934, published 1935",1940,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
"May Day, Moscow",Diego Rivera,1928,1935,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
Gum Gum,John Pinderhughes,1989,1991,Lois and Bruce Zenkel Fund,Documents/info664project/moma.csv
"A Flower, A Drama Like Death",Anish Kapoor,1986,1987,Sid R. Bass Fund,Documents/info664project/moma.csv
PORTRAIT OF W. EUGENE SMITH,Harold Feinstein,1946-58,1959,Purchase,Documents/info664project/moma.csv
Piece for George Maciunas who can't distinguish between these colors,John Lennon,1971,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
40 DAYS OF RAIN,Arne Wolf,1965,1966,John B. Turner Fund,Documents/info664project/moma.csv
!!?!!!,Nick Mauss,2003,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
12:25,Jesse Reichek,1961,1963,Gift of John S. Newberry,Documents/info664project/moma.csv
"Mujer ángel, Desierto de Sonora (Angel Woman, Sonoran Desert)",Graciela Iturbide,1979,1986,Purchase,Documents/info664project/moma.csv
Poucna literatura pro mladez,Augustin Tschinkel,Unknown,1999,"Jan Tschichold Collection, Gift of Philip Johnson",Documents/info664project/moma.csv
Sunday (Domingo),Barbara Mors,c. 1953,2019,John Szarkowski Fund,Documents/info664project/moma.csv
The World Map A,Hong Hao,2000,2004,Lily Auchincloss Fund,Documents/info664project/moma.csv
The Antarctic,Kenjiro Sekiguchi,c. 1950,1959,Gift of Nihon Keizai Shimbun,Documents/info664project/moma.csv
Color Chaser,Yuri Suzuki,2010-2013,2014,Gift of the designer,Documents/info664project/moma.csv
Serving Bowl,Kenneth Brozen,1963,1967,Gift of the designer,Documents/info664project/moma.csv
Opium,Fritz Stuckenberg,1917,1985,The Riklis Collection of McCrory Corporation,Documents/info664project/moma.csv
Standing Youth,Wilhelm Lehmbruck,1913,1937,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
Cable Car,Max Yavno,1947,1981,Gift of the artist,Documents/info664project/moma.csv
Health Chair,"The Ironrite Ironer Co., Detroit, MI",1938-1940,,Gift of the manufacturer,Documents/info664project/moma.csv
Comrie,Robert Huot,Dec-64,1974,Given anonymously,Documents/info664project/moma.csv
Painting,Francis Bacon,1946,1948,Purchase,Documents/info664project/moma.csv
"Ambrussum, France",Elger Esser,1999,2017,"Gift of Susan and Arthur Fleischer, Jr.",Documents/info664project/moma.csv
33 Questions Per Minute,Rafael Lozano-Hemmer,2000,2006,Fund for the Twenty-First Century,Documents/info664project/moma.csv
Eleven costume designs and two set designs for the ballet Charade (or The Debutante),Alvin Colt,1939,,Gift of Lincoln Kirstein,Documents/info664project/moma.csv
Hulk,Kenneth McGowan,1979,1979,Gift of Albert Dorskind,Documents/info664project/moma.csv
Bowl,Vera Lisková,1947,1953,"Gift of A. J. Van Dugteren & Sons, Inc.",Documents/info664project/moma.csv
The flag left on the moon is perhaps the most expensive piece of fabric in the universe,Edith Dekyndt,2004,2009,Fund for the Twenty-First Century,Documents/info664project/moma.csv
Portraits of Aubrey Beardsley,Frederick H. Evans,c. 1894,1966,Purchase,Documents/info664project/moma.csv
Self-Portrait in Mirror,Otto Lindig,1925–30,2001,Thomas Walther Collection. Acquired through the generosity of Peter Norton,Documents/info664project/moma.csv
Well Proven Stool,"Marjan van Aubel, James Shaw",2014,2014,Committee on Architecture and Design Funds,Documents/info664project/moma.csv
No Time for Accidents - We Need Ships,Pat Keely,c.1941,1943,Gift of Mrs. John Carter,Documents/info664project/moma.csv
Untitled,Noah Davis,2009,2020,Acquired through the generosity of the Contemporary Drawing and Print Associates,Documents/info664project/moma.csv
Cosmic Vision,Emilio Vedova,1953,1956,Blanchette Hooker Rockefeller Fund,Documents/info664project/moma.csv
Football Starr,Spencer Sweeney,-2002,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Untitled from the Museum in Progress project Interventions: Cooperation Secession: Young Scene,Mads Ranch Kornum,"(newspaper published: August 10, 1998)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Mannikin,Arshile Gorky,1931,1940,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
Simulated Dwelling for a Family of Five Project,David Jacob,1970,1973,Estée and Joseph Lauder Design Fund,Documents/info664project/moma.csv
