title,artist,date,School Name,Borough,Medium
HOCKEY PLAYERS,? Schwartz,,FLUSHING HS - Q,QUEENS,SILKSCREEN
"""PETER STUYVESANT""",A. Barbara Buttye,,STUYVESANT HS (NEW) - MANHATTAN,MANHATTAN,OIL ON CANVAS
BOAT SCENE,A. Sembler,1940,MIDWOOD HS - K,BROOKLYN,WATERCOLOR
UNTITLED (PORTRAIT OF A MAN WITH GUN),A.M. Upjohn,,GEORGE W. WINGATE HS - K,BROOKLYN,
"""WORKER""",Aaron Goodelman,1937,ABRAHAM LINCOLN HS - K,BROOKLYN,"PLASTER, PAINTED"
"""WORKER""",Aaron Goodelman,1937,ABRAHAM LINCOLN HS - K,BROOKLYN,"WOOD, PAINTED"
"""WISDOM GIVETH LIFE""",Abraham Bogdanove,1925,ROBESON HS COMP&BUS TC (A HML)-K,BROOKLYN,OIL ON CANVAS
HENRY HUDSON,Abraham Bogdanove,1930,P.S. 43 - BRONX,BRONX,OIL ON CANVAS
ANCIENT & MODERN COMMERCE,Abraham Bogdanove,1918,TOTTENVILLE HS - S. I.,STATEN ISLAND,OIL ON CANVAS
"""THE ARRIVAL OF THE MAYFLOWER""",Abraham Bogdanove,1926,P.S. 43 - BRONX,BRONX,OIL ON CANVAS
PEACE,Abraham Bogdanove,1922,NEWCOMERS HIGH SCHOOL (OLD LIC)-Q,QUEENS,OIL ON CANVAS
MAJOR INFLUENCES IN CIVILIZATION,Abraham Lishinsky,1937,SAMUEL J. TILDEN HS - K,BROOKLYN,OIL ON CANVAS
TRIUMPH OF SCIENCE OVER CHARLETISM,Abraham Tobias,1943,MIDWOOD HS ADDITION - BROOKLYN,BROOKLYN,CASEIN
TEACHER AND STUDENT,Abraham Tobias,1960,P.S. 134 - MANHATTAN,MANHATTAN,MOSAIC
TEACHER AND STUDENT,Abraham Tobias,1960,P.S. 134 - MANHATTAN,MANHATTAN,TERRAZZO
SACRIFICE OF YOUTH FOR DEMOCRACY AND FULFILLMENT OF YOUTH,Abraham Tobias,1952,JAMES MADISON HS - K,BROOKLYN,FRESCO
FAMILY COURT MURAL,Abraham Tobias,1956,MIDTOWN EAST CAMPUS - MANHATTAN,MANHATTAN,
JAIPUR MOTORCYCLE,Adam Bartos,1987,P.S. 254 - BROOKLYN,BROOKLYN,PHOTOGRAPH
UNTITLED,Adam Cvijanovic,1988,P.S. 250 - BROOKLYN,BROOKLYN,OIL ON CANVAS
SUBWAY SERIES,Adam Lo Faso,2000,BAYSIDE HS - Q,QUEENS,FIBERGLASS
UNTITLED,Adam Reich,1987,I.S. 126 - QUEENS,QUEENS,"PHOTOGRAPH, TINTED"
12 X 3 X 4,Adam Simon,2012,PS 310 THE SCHOOL FOR FUTURE LEADERS - BROOKLYN,BROOKLYN,ACRYLIC ON WALL
12 X 3 X 4,Adam Simon,2012,PS 310 THE SCHOOL FOR FUTURE LEADERS - BROOKLYN,BROOKLYN,CERAMIC TILE
WILLIAM CULLEN BRYANT,Adolph Block,1934,WILLIAM C. BRYANT HS - Q,QUEENS,BRONZE
"""BABOON""",Adolph Wolff,1937,ERASMUS HALL CAMPUS - K,BROOKLYN,CAST STONE
LIFE- LIBERTY-AND THE PURSUIT OF HAPPINESS,Adria Mortellito,1976,OSSS / DSF - QUEENS,QUEENS,PRINT
MY DOORSTEP,Agnes Tait,1936,FLUSHING HS - Q,QUEENS,LITHOGRAPH
SWING IT,Aida Uhedon,1986,NEWTOWN HS - QUEENS,QUEENS,"ETCHING, COLOR"
