source,title,artist,date
education,JAIPUR MOTORCYCLE,Adam Bartos,1987
moma,Untitled: East Wall of General Assembly Room,Adam Bartos,1992
moma,Untitled (wood sculpture),Alice Adams,1983
education,AFRICAN GARDEN,Alice Adams,1993
moma,Accident in the Air,Anton Refregier,1939
education,COLORFUL FIGURES OF AMERICAN HISTORY,Anton Refregier,1958
education,LETTER Y,Antonio Martorell,1994
moma,Plaza de San Jose,Antonio Martorell,1964
education,"IT WAS ONLY TODAY, YESTERDAY",Art Spiegelman,2012
moma,Lead Pipe Sunday,Art Spiegelman,1992
education,COMMON GROUND,Ben Schonzeit,1996
moma,Tangerine Sugar from Documenta: The Super Realists,Ben Schonzeit,1976
education,"STUDY FOR COMMON GROUND, MURAL AT PS 205K",Ben Schonzeit,1994
education,SCIENCE AND THE HUMANITIES,Ben Shahn,1957
moma,Bartolomeo Vanzetti and Nicola Sacco,Ben Shahn,1935
moma,MOUNTAIN MONSTER,Bernard Steffen,1948
education,RIVER DRIVE,Bernard Steffen,1937
moma,"I am Black, I am Black, I am Dangerously Black",Camille Billops,2020
education,PS 4 ONSTAGE,Camille Billops,1995
education,THE WAR OF THE FIVES,Camille Billops,1975
education,GOOD MORNING IN NEW YORK,Camille Billops,1996
education,BASKETBALL PLAYERS,Chaim Gross,1935
moma,Handlebar Riders,Chaim Gross,1937
education,FENCING BOY,Chaim Gross,1937
education,IN FRONT OF THE ARK,Chaim Gross,1962
education,COLLEGE GIRL,Chaim Gross,1935
education,COLOR REGRESSION # 1 #2  #3,Charles Gaines,1980
moma,"Faces: Set #11, Mary Ann Aloojian",Charles Gaines,2011
moma,Vincent Canadé,Concetta Scaravaglione,1943
education,GIRL WITH FAWN,Concetta Scaravaglione,1940
education,UNTITLED,Costantino Nivola,1959
education,"""UNTITLED""",Costantino Nivola,1955
education,"""UNKNOWN""",Costantino Nivola,1968
education,"""ABSTRACT""",Costantino Nivola,1965
education,RELIEF PANELS,Costantino Nivola,1965
education,UNTITLED,Costantino Nivola,
education,THE FAMILY,Costantino Nivola,1973
education,ROOF PROMENADE SCULPTURE,Costantino Nivola,1968
