source,title,artist,created,date,creditline,,,,
moma,"Study for Project Entitled ""Studies for a Town""",Alice Aycock,1977,1978,Acquired with matching funds from R.L.B. Tobin and the National Endowment for the Arts,,,,
public,Roof Sculpture for 107th Police Precinct,Alice Aycock,1992,1992,Commissioned through Department of Cultural Affairs Percent for Art Program,,,,
public,East River Roundabout,Alice Aycock,1995,1995,Commissioned by the New York City Economic Development Corporation,,,,
moma,Heart and Sole,Alison Saar,1993,1993,Ralph E. Shikes Fund and Purchase,,,,
public,Harriet Tubman Memorial,Alison Saar,2007,2008,Commissioned through Department of Cultural Affairs Percent for Art Program,,,,
moma,Square,Bryan Hunt,1976,1977,Gift of J. Frederic Byers III,,,,
public,Coenties Ship,Bryan Hunt,2006,2006,Commissioned through Department of Cultural Affairs Percent for Art Program,,,,
moma,Borrowing Your Enemy's Arrows,Cai Guo-Qiang,1998,1999,Gift of Patricia Phelps de Cisneros in honor of Glenn D. Lowry,,,,
public,One Stone,Cai Guo-Qiang,2007,2007,Commissioned through Department of Cultural Affairs Percent for Art Program,,,,
moma,Handlebar Riders,Chaim Gross,1935,1937,Gift of A. Conger Goodyear,,,,
public,The Family,Chaim Gross,1979,1992,Gift of Irwin Hersey and Friends of Chaim Gross,,,,
moma,"Freedom Now, Number 1",Daniel LaRue Johnson,"August 13, 1963 - January 14, 1964",1965,Given anonymously,,,,
public,Peace Form One,Daniel LaRue Johnson,1980,1980,Gift of The Phelps-Stokes Fund,,,,
moma,Hard,David Saunders,1986,1988,Lily Auchincloss Fund,,,,
public,Seat,David Saunders,1987,1987,Commissioned through Department of Cultural Affairs Percent for Art Program,,,,
public,Fire hat,David Saunders,1994,1994,Purchase,,,,
moma,Plate (folio 5) from BESTIAIRE,Dolly Perutz,1958,1959,Gift of Mr. and Mrs. Thomas Vyman,,,,
public,Bird Flying Machine,Dolly Perutz,1973,1991,Gift of Tino Perutz,,,,
moma,Malcolm X Speaks for Us,Elizabeth Catlett,1969,1988,Gift of the artist,,,,
public,Ralph Ellison Memorial,Elizabeth Catlett,2002,2003,Gift of the Ralph Ellison Memorial Committee,,,,
moma,Ceremonial Jade II,Elyn Zimmerman,1992,1995,Gift of Daniel Shapiro,,,,
public,Canal Waterworks,Elyn Zimmerman,2009,2009,Funded by the Paul Milstein Foundation,,,,
moma,Digging Kids,Eric Fischl,1982,1982,Miles O. Epstein Fund,,,,
public,Soul In Flight: Arthur Ashe Memorial,Eric Fischl,2000,2000,Purchase,,,,
moma,Detours (I feel fat),Ester Partegàs,2002,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,,,,
public,The Source,Ester Partegàs,2015,2015,Commissioned through Department of Cultural Affairs Percent for Art Program,,,,
moma,The Bus Driver,George Segal,1962,1963,Philip Johnson Fund,,,,
public,Gay Liberation,George Segal,1980,1992,Gift of Mildred Andrews Fund,,,,
moma,Drawing for A200 AJUT,Jackie Ferrara,1979,1979,Amicus Foundation Inc. Fund,,,,
public,Flushing Bay Promenade Pavement,Jackie Ferrara,2000,2001,Commissioned through Department of Cultural Affairs Percent for Art Program,,,,
moma,Electric Sign,Jenny Holzer,1986,1986,Given anonymously,,,,
public,New York City AIDS Memorial,Jenny Holzer,2016,2016,Gift of New York City AIDS Memorial,,,,
moma,Totem,Keith Haring,1989,1989,"Gift of Edition Schellmann, Munich and New York",,,,
public,Crack Is Wack,Keith Haring,1986,1986,Gift of the artist (Keith Haring),,,,
public,Carmine Street Pool Mural,Keith Haring,1987,1987,Gift of Keith Haring,,,,
moma,Sky Cathedral,Louise Nevelson,1958,1958,Gift of Mr. and Mrs. Ben Mildwoff,,,,
public,Night Presence IV,Louise Nevelson,1972,1973,Gift of Louise Nevelson,,,,
public,Shadows and Flags,Louise Nevelson,1977,1978,Gift of The Mildred Andrews Fund,,,,
