artist,title,date,location
Katherine Bradford,Queens of the Night ,2021, 1 Av (L)
Nick Cave,"Each One, Every One, Equal All ",2021, Times Sq-42 St (1/2/3/7/N/Q/R/W/S)
Jackie Ferrara,"Grand Central: Arches, Towers, Pyramids ", 2021 / 2000 , Grand Central-42 St (4/5/6/7/S)
Jim Hodges,I dreamed a world and called it Love ,2021, Grand Central-42 St (4/5/6/7/S)
Museum of Modern Art (MoMA),53rd Street Art Stop ,2019, 5 Av/53 St (E/M)
Nancy Blum,ROAMING UNDERFOOT ,2019, 28 St (6)
Diana Al-Hadid,The Arches of Old Penn Station; The Arc of Gradiva ,2018, 34 St-Penn Station (1/2/3)
Ann Hamilton,CHORUS ,2018, WTC Cortlandt (1)
Derek Fordjour,PARADE ,2018, 145 St (3)
Firelei Báez,"Ciguapa Antellana, me llamo sueño de la madrugada (who more sci-fi than us) ",2018, 163 St-Amsterdam Av (C)
Joyce Kozloff,Parkside Portals ,2018, 86 St (B/C)
William Wegman,Stationary Figures ,2018, 23 St (F/M)
Christopher Wynter,Migration , 2018 / 1999 , Cathedral Pkwy (110 St) (B/C)
Yoko Ono,SKY ,2018, 72 St (B/C)
Alex Katz,Metropolitan Faces ,2018, 57 St (F)
Tomo Mori,The Wheels on the Bus ,2017, Manhattanville Bus Depot
Jean Shin,Elevated ,2017, Lexington Av/63 St (F/Q)
Chuck Close,Subway Portraits ,2017, 86 St (Q)
Vik Muniz,Perfect Strangers ,2017, 72 St (Q)
Sarah Sze,Blueprint for a Landscape ,2017, 96 St (Q)
Xenobia Bailey,Funktional Vibrations ,2015, 34 St-Hudson Yards (7)
"James Carpenter Design Associates, Grimshaw Architects and ARUP",Sky Reflector-Net ,2014, Fulton Transit Center (2/3/4/5/A/C/J/Z)
Shinique Smith,Mother Hale's Garden ,2013, Mother Clara Hale Bus Depot
Wopo Holup,Birds in Flight-Moon View ,2013, Dyckman St (1)
