artist,title,date,location
Amy Pryor,Day Into Night Into Day , 2021 , 138 St-Grand Concourse (4/5)
Rico Gatson,Beacons , 2018 , 167 St (B/D)
Roy Secord,Bronx Seasons Everchanging , 2018 , 174-175 Sts (B/D)
Jaime Arredondo,Garden of Earthly Delights , 2015 , Zerega Av (6)
Priscila De Carvalho,"Bronx: Heart, Homeland ", 2015 , Castle Hill Av (6)
Amanda Schachter & Alexander Levi,Cross-Bronx Waterway , 2015 , Middletown Rd (6)
Soonae Tark,Have a Happy Day , 2015 , Buhre Av (6)
Luisa Caldwell,Station Villa , 2011 , E 180 St (2/5)
William Low,A Day in Parkchester , 2011 , Parkchester (6)
Alison Moritsugu,"Community (Acer rubrum, Rosa palustris, Smilax rotundifolia, Carya cordiformis) ", 2011 , St. Lawrence Av (6)
Jean Whitesavage & Nick Lyle,Bronx Trees , 2011 , Elder Av (6)
Alfredo Ceibal,Permanent Residents and Visitors , 2010 , Wakefield-241 St (2/5)
Maria Cristalli & Marc Brown,The Land Between Two Waters , 2010 , Morrison Av-Soundview (6)
Barbara Grygutis,Bronx River View , 2010 , Whitlock Av (6)
George Crespo,Latin American Stories , 2009 , Jackson Av (2/5)
Lisa Amowitz,Urban Renewal , 2008 , Simpson St (2/5)
Laura Battle,How to get to the moon… , 2008 , Burnside Av (4)
Felipe Galindo,Magic Realism in Kingsbridge , 2008 , 231 St (1)
Corinne Grondahl,Metromorphosis/Birth of a Station , 2008 , Mosholu Pkwy (4)
José Ortiz,Many Trails , 2008 , 183 St (4)
Marina Tsersarskaya,Bronx. Four Seasons , 2008 , Prospect Av (2/5)
Tomie Arai,Back to the Garden , 2007 , Pelham Pkwy (2/5)
Daniel Hauben,The El , 2007 , Freeman St (2/5)
Mario M. Muller,Urban Motif , 2007 , Kingsbridge Rd (4)
Carol Sun,A Bronx Reflection , 2007 , 167 St (4)
Candida Alvarez,B is for Birds in the Bronx , 2006 , Bronx Park East (2/5)
Andrea Arroyo,"My Sun (Mi Sol), My Planet (Mi Planeta) and My City (Mi Ciudad) ", 2006 , Gun Hill Rd (2/5)
Amir Bey,The Procession of Folk #3 , 2006 , Mt Eden Av (4)
Michele Brody,Allerton Mandalas , 2006 , Allerton Av (2/5)
Dina Bursztyn,Views from Above , 2006 , 170 St (4)
Noel Copeland,Leaf of Life , 2006 , Nereid Av (2/5)
Béatrice Coron,Bronx Literature , 2006 , Burke Av (2/5)
Joseph D’Alesandro,Homage , 2006 , 219 St (2/5)
Andrea Dezsö,Community Garden , 2006 , Bedford Park Blvd-Lehman College (4)
Nicky Enright,Universal City , 2006 , 225 St (2/5)
Skowman Hastanan,A Secret Garden: There's No Place Like Home , 2006 , 233 St (2/5)
Juan Sánchez,Reaching Out For Each Other , 2006 , 176 St (4)
Josie Gonzalez Albright,Children at Play , 2005 , Woodlawn Av (4)
Moses Ros,"Patriasana, Wholesomeland ", 2005 , Fordham Rd (4)
Naomi Campbell,Animal Tracks , 2004 , West Farms Sq–E Tremont Av (2/5)
Daniel del Valle,A Trip Up the Bronx River , 2004 , 174 St (2/5)
Vito Acconci (Acconci Studio),Wall-Slide , 2002 , 161 St–Yankee Stadium (B/D/4)
Helene Brandt,Room of Tranquility , 2002 , 161 St–Yankee Stadium (B/D/4)
Frank Leslie Hampton,Uptown New York , 2000 , Tremont Av (B/D)
José Ortega,"Una Raza, Un Mundo, Universo (One Race, One World, One Universe) ", 1996 , 3 Av-149 St (2/5)
Romare Bearden,Untitled (“City of Light”) , 1993 , Westchester Sq–E Tremont Av (6) 
Michael Kelly  Williams,El 2 and El 5 , 1992 , Intervale Av (2/5)
