artist,title,date,location
Barbara Takenaga,Forte (Quarropas); Blue Rails (White Plains) ,2020, White Plains
Tricia Wright,"Morning Glory, Evening Splendor; The Perennial Village ",2019, Crestwood
Alison Saar,copacetic / Hear the Lone Whistle Moan , 2018 / 1991 , Harlem-125 St
Dan Funderburgh,Eureka ,2016, Fordham
SITU Studio,Percolate ,2015, North White Plains Parking Garage
Jane Greengold and Kane Chanh Do,Almost Home ,2002, Pleasantville
Anne Huibregtse,Arrival ,2000, Wassaic
Terry Adkins,Harlem Encore ,1999, Harlem-125 St
Ellen Driscoll,"As Above, So Below ",1998, Grand Central Terminal
Donald Lipski,Sirshasana ,1998, Grand Central Terminal
Roberto Juarez,A Field of Wild Flowers ,1997, Grand Central Terminal
Rolando Briseño,At the Table ,1991, North White Plains
Martha Jackson-Jarvis,Travelin’ Time ,1991, Mount Vernon West
Tom Nussbaum,Workers ,1991, Hartsdale & Scarsdale
Arthur Gonzalez,Time Catcher & The Finder / The Seekers ,1990, Fleetwood & Tuckahoe
