artist,title,date,location
Alison Saar,copacetic / Hear the Lone Whistle Moan , 2018 / 1991 , Harlem-125 St
Corinne Ulmann,Croton-Harmon Station , 2013 , Croton-Harmon
Holly Sears,Hudson River Explorers , 2012 , Tarrytown
Joy Taylor,Jan Peeck’s Vine , 2012 , Peekskill
Robert Goodnough,K—M—G , 2010 , Ossining
Liliana Porter and Ana Tiscornia,Untitled with Sky , 2010 , Scarborough
Joseph Cavalieri,"North, South and Home ", 2009 , Philipse Manor
Ellen Harvey,The Home of the Stars , 2009 , Yankees-E 153 St
Nancy Blum,Floating Auriculas , 2007 , Dobbs Ferry
Dennis Oppenheim,Rising and Setting , 2006 , Riverdale
Barbara Segal,Muhheakantuck (The River that Flows Two Ways) , 2005 , Yonkers
Terry Adkins,Harlem Encore , 1999 , Harlem-125 St
Ellen Driscoll,"As Above, So Below ", 1998 , Grand Central Terminal
Donald Lipski,Sirshasana , 1998 , Grand Central Terminal
Roberto Juarez,A Field of Wild Flowers , 1997 , Grand Central Terminal
Robert Taplin,Three Statues (A Short History of the Lower Hudson Valley) , 1996 , Cortlandt
