artist,title,date,location
Damien Davis,Empirical Evidence , 2021 , Mount Vernon 3rd Ave Bridge
Mark Fox,40˚54’37.9”N 73˚50’33.5”W , 2021 , Mount Vernon 10th Ave Bridge
Josué Guarionex,CROSSCUT , 2021 , Mount Vernon 6th Ave Bridge
Frances Gallardo,Line to Line , 2018 , Mount Vernon 14th Ave Bridge
Alison Saar,copacetic / Hear the Lone Whistle Moan , 2018 / 1991 , Harlem-125 St
Bernard Greenwald,Images of Port Chester / Port Chester Scenes , 2018 / 2011 , Port Chester
Kim Cridler,Where the Sweet Waters Fall , 2014 , Mamaroneck
Loren Eiferman,HOME: INSIDE/OUTSIDE , 2014 , Pelham
Matt Mullican,Untitled , 2011 , Rye
Joy Taylor,The Four Seasons , 2005 , Larchmont
Tova Snyder,Railroads and Rooftops , 2002 , Harrison
Marjorie Blackwell,Tranquility , 2001 , Mount Vernon East
Terry Adkins,Harlem Encore , 1999 , Harlem-125 St
Ellen Driscoll,"As Above, So Below ", 1998 , Grand Central Terminal
Donald Lipski,Sirshasana , 1998 , Grand Central Terminal
Roberto Juarez,A Field of Wild Flowers , 1997 , Grand Central Terminal
