artist,title,date,location
Jeffrey Gibson,I AM A RAINBOW TOO , 2020 , Astoria Blvd (N/W)
Diane Carr,Outlook , 2018 , Broadway (N/W)
Elisabeth Condon,Urban Idyll , 2018 , Astoria-Ditmars Blvd (N/W)
Maureen McQuillan,Crystal Blue Persuasion , 2018 , 36 Av (N/W)
Sarah Morris,Hellion Equilibrium , 2018 , 39 Av-Dutch Kills (N/W)
Stephen Westfall,Perasma I & II; Dappleganger , 2018 , 30 Av (N/W)
Linda Ganjian,Home Sweet Home , 2016 , 111 St (A)
Mia Pearlman,Soar , 2016 , 80 St (A)
Béatrice Coron,On the Right Track , 2015 , 104 St (A)
Ray King,Connections , 2015 , Rockaway Blvd (A)
Haresh Lalvani,MORPHINGS88 , 2015 , 88 St (A)
Laura F. Gibellini,Dom (Variations) , 2013 ," Seneca Av, Forest Av & Fresh Pond Rd (M)"
Tricia Keightley,Hunters Point Avenue Project , 2012 , Hunters Point Av (7)
Ingo Fast,On and Off the Boardwalk , 2011 , Beach 67 St (A)
Callie Hirsch,Vast , 2011 , Beach 105 St (A/S)
Simon Levenson,The Beaches of New York City , 2011 , Beach 60 St (A)
Mauricio Lopez,Past/Present/Future , 2011 , Beach 25 St (A)
Michael Miller,Surf Station 90 , 2011 , Beach 90 St (A/S)
George Bates,Symphonic Convergence 1&2 , 2011 , Beach 36 St (A)
Jill Parisi,Coom Barooom , 2011 , Beach 44 St (A)
Duke Riley,Be Good or Be Gone , 2011 , Beach 98 St (A/S)
Jason Rohlf,Respite , 2011 , Far Rockaway-Mott Av (A)
K.K. Kozik,First on the Beach and Wednesday Night Fireworks , 2008 , Rockaway Park-Beach 116 St (A/S)
Ellen Harvey,"Look Up, Not Down ", 2005 , Queens Plaza (E/M/R)
Tom Patti,Passage , 2004 , Jackson Hts-Roosevelt Av & 74 St-Broadway (E/F/M/R/7)
Elizabeth Murray,Stream , 2001 , Court Sq-23 St (E/M/G/7)
Sydney Cash,Columns , 2000 , Queensboro Plaza (N/W/7)
Dimitri Gerakaris,Woodside Continuum , 1999 , Woodside-61 St (7)
Yumi Heo,Q is for Queens , 1999 ," 33 St, 40 St, 46 St & Flushing-Main St (7)"
Ik-Joong Kang,Happy World , 1999 , Flushing-Main St (7)
Pablo Tauler,In Memory of the Lost Battalion , 1996 , Woodhaven Blvd (M/R)
Frank Olt,Temple Quad Reliefs , 1992 , 23 St & Court Sq (E/M/G/7)
Sam Gilliam,"Jamaica Center Station Riders, Blue ", 1991 , Jamaica Ctr/Parsons-Archer (E/J/Z)
Kathleen McCarthy,Five Points of Observation , 1990 ," 104 St, 111 St, 75 St & Woodhaven Blvd (J/Z)"
John Cavanagh,Commuting/Community , 1986 , Woodside-61 St (7)
