artist,date,title,source,percent funded?
Rembrandt Van Rijn,1641,THE ANGEL DEPARTING FROM THE FAMILY OF TOBIAS,education,
Van Der Ulft,1667,"""DUTCH CITY HALL [DE DAM]""",education,
Giovanni Tiepolo,1740,SOLDIER ABOUT TO MOUNT HIS HORSE (FROM VARI CAPRICCI),education,
John Audubon,1848,"OVIBUS MOSCHATUS, GMEL,MUSK OX",education,
John Audubon,1848,GRIZZLY BEAR,education,
John Audubon,1848,"MUSTELA MARTES, LINN.'PINE MARTEN./MALEAN FEMALE WINTER PELAGE.",education,
John Audubon,1848,"SCIURUS NIGRESCENS, BENNETT/ DUSKY SQUIRREL./MALE/ NATURAL SIZE",education,
Ernst Plassmann,1872,FRANKLIN STATUE (BENJAMIN),education,
Friedreck Beer,1885,WASHINGTON IRVING,education,
Herbert Adams,1896,"TRUTH, RESEARCH",education,
John Alexander,1896,"""EGYPT""",education,
John Alexander,1896,"""WRITING""",education,
Louis Tiffany,1902,"MEMORIAL TO CALVIN PATTERSON, 1847-1902",education,
Charles Turner,1905,OPENING THE ERIE CANAL,education,
Gorham Company,1906,"""BOARD OF EDUCATION PLAQUE""",education,
Edwin Deming,1907,GOV. MORRIS ADDRESSING THE CONVENTION FOR..,education,
Edwin Deming,1907,THE FIRST TREATY OF PEACE MADE BETWEEN...,education,
Gorham Company,1907,GOETHE AND VICTOR HUGO WINDOWS,education,
Fredrick Stoddard,1908,WOMANHOOD,education,
Lederle Studio,1909,LYDIA F. WADLEIGH AND SUSAN K. BOURNE MEMORIAL,education,
Joseph Boston,1909,MR. RICHARD YOUNG,education,
Robert Ganley,1909,"""JOHN T. BUCHANAN""",education,
Frederick Lamb,1911,WASHINGTON BEFORE THE BATTLE OF LONG ISLAND,education,
Victor Brenner,1912,IRVING BAS-RELIEF (WASHINGTON),education,
Jose Palacios,1913,BUST OF W. J. GAYNOR,education,
S Pavolof,1913,"""THE PAINTER""",education,
S. Pavone,1913,"""SELF PORTRAIT WITH PALETTE""",education,
Edwin Child,1915,RUPERT P. THOMAS,education,
Frances Grimes,1915,THE LEGEND OF SLEEPY HOLLOW,education,
Victor Brenner,1915,LINCOLN TABLET (ABRAHAM),education,
Fredrick Stoddard,1916,THE BIRTH AND DEVELOPMENT OF EDUCATION,education,
Robert Ryland,1916,"""DUTCH AND INDIAN TRADING""",education,
Salvatore Lascari,1916,"""HISTORIC LANDMARKS OF NEW YORK""",education,
Charles Keck,1917,"""SOUTHERLAND TABLET""",education,
D'Ascenzo Studios,1917,JESSE FRANCES SMITH FORD MEMORIAL WINDOW,education,
Abraham Bogdanove,1918,ANCIENT & MODERN COMMERCE,education,
