artist,date,title,source,percent funded?
Sussman,1941,BRICK WORK INTERIOR,education,
A. Althoff,1945,Middle Village War Memorial,public,
A. Barbara Buttye,,"""PETER STUYVESANT""",education,
A. Beretta,1945,Sundial,public,
A. Beretta,1958,Irving and Estelle Levy Playground Gate,public,
A. Beretta,1964,Joseph J. Lynch and Ferdinand A. Socho Memorial,public,
A. Sembler,1940,BOAT SCENE,education,
A.M. Upjohn,,UNTITLED (PORTRAIT OF A MAN WITH GUN),education,
A.S. Cianfarani,1954,Father Giorgio Memorial,public,
Aaron Goodelman,1937,"""WORKER""",education,
Abraham Bogdanove,1918,ANCIENT & MODERN COMMERCE,education,
Abraham Bogdanove,1922,PEACE,education,
Abraham Bogdanove,1925,"""WISDOM GIVETH LIFE""",education,
Abraham Bogdanove,1926,"""THE ARRIVAL OF THE MAYFLOWER""",education,
Abraham Bogdanove,1930,HENRY HUDSON,education,
Abraham Lishinsky,1937,MAJOR INFLUENCES IN CIVILIZATION,education,
Abraham Tobias,1943,TRIUMPH OF SCIENCE OVER CHARLETISM,education,
Abraham Tobias,1952,SACRIFICE OF YOUTH FOR DEMOCRACY AND FULFILLMENT OF YOUTH,education,
Abraham Tobias,1956,FAMILY COURT MURAL,education,
Abraham Tobias,1960,TEACHER AND STUDENT,education,
Abram Belskie,1955,Jewish-American Tercentenary Flagstaff,public,
Adam Bartos,1987,JAIPUR MOTORCYCLE,education,
Adam Lo Faso,2000,SUBWAY SERIES,education,
Adam Simon,2012,12 X 3 X 4,education,
Adolph Block,1934,WILLIAM CULLEN BRYANT,education,
Adolph Weinman,1908,Fort Greene Eagles,public,
Adolph Weinman,1908,Prison Ship Martyrs Monument,public,
Adolph Weinman,1926,William Jay Gaynor Memorial,public,
Adolph Weinman,1928,John Purroy Mitchel,public,
Adolph Weinman,1934,The Song of Achievement,public,
Adolph Weinman,1934,Spirit of Progress,public,
Adolph Wolff,1937,"""BABOON""",education,
Adria Mortellito,1976,LIFE- LIBERTY-AND THE PURSUIT OF HAPPINESS,education,
Agnes Tait,1936,MY DOORSTEP,education,
Agustin de Andino,1995,Transformations of the Earth,percent,yes
Aida Uhedon,1986,SWING IT,education,
Al Held,2004,Passing Through ,mta,
Al Loving,2001,"Brooklyn, New Morning ",mta,
Al Mcbride,1976,THE PURSUIT OF HAPPINESS,education,
Alan Doggett,1929,"""HANS BRINKER OF THE SILVER SKATES""",education,
Alan Sonfist,1993,Narrative History,mta,
Alan Wexler,1999,WEST SIDE HIGH SCHOOL PARK,education,
Albert Benevento,1992,Frederick E. Samuel,public,
Albert Goodspeed,1976,FREEDOM FROM FEAR OF ILLNESS,education,
Albert Stewart,1971,Armillary Sphere,public,
Albert Thorvaldsen,1891,Temperance Fountain,public,
Albert Thorvaldsen,1894,Albert Bertel Thorvaldsen,public,
Albert Webb,1940,THE MOON AND SIXPENCE,education,
Albert Weinert,1920,Staten Island War Memorial,public,
Albert Weinert,1921,Liberty Flagstaff,public,
Albert Winert,1925,Fort Stirling Marker,public,
Albino Manca,1963,East Coast Memorial,public,
Albino Manca,1964,Verrazzano Memorial Flagstaff,public,
Albino Manca,1968,Gates of Life,public,
Albino Manca,2004,John N. LaCorte,public,
Alec Thibodeau,2015,Epoch Travelers,percent,yes
Alex Katz,2018,Metropolitan Faces ,mta,
Alexander Calder,1918,George Washington Accompanied by Wisdom and Justice,public,
Alexander Doyle,1894,Horace Greeley,public,
Alexander Proctor,1898,Panthers,public,
Alexander Victor,1947,Navy Terrace,public,
Alexander Victor,1947,Navy Walk,public,
Alexandra Sax,2008,TURTLE MIGRATION,education,yes
Alexsandra Kasuba,1964,GROWTH OF HUMAN ACHIEVEMENTS,education,
Alfred Crimi,1961,THE WISE MAN WITHIN THE CIRCLE AND THE SQUARE,education,
Alfred Crimi,1964,"MUSIC, SCIENCE AND PHYSICAL CULTURE",education,
Alfred Crimi,1966,THE LIGHT OF KNOWLEDGE,education,
Alfred Crimi,1967,BUST OF ALBERT EINSTEIN,education,
Alfred Crimi,1970,UNITED NATIONS,education,
Alfred Crimi,1974,"""ONCE UPON A TIME""",education,
Alfred Floegel,,HISTORY OF THE WORLD & CONSTELLATIONS,education,
Alfredo Ceibal,1993,MODEL FOR FLIGHT,education,
Alfredo Ceibal,1996,THE FLYING IMAGINATION,education,yes
Alfredo Ceibal,2010,Permanent Residents and Visitors ,mta,
Alfredo Ximinez,1937,THE OX WAGON MEXICO,education,
Alfredo Ximinez,1940,FRUIT VENDOR,education,
Algernon Miller,1972,Tree of Hope III,public,
Algernon Miller,2011,Frederick Douglass Memorial,public,
Alice Adams,1993,AFRICAN GARDEN,education,yes
Alice Adams,1995,Planting,mta,
Alice Aycock,1992,Roof Sculpture for 107th Police Precinct,public,yes
Alice Aycock,1995,East River Roundabout,public,
Aline Fruhauf,1937,THE BEACH,education,
Alison Moritsugu,2011,"Community (Acer rubrum, Rosa palustris, Smilax rotundifolia, Carya cordiformis) ",mta,
Alison Saar,1991,copacetic / Hear the Lone Whistle Moan ,mta,
Alison Saar,2008,Harriet Tubman Memorial,public,yes
Alison Sky,1999,Thresholds,percent,yes
Alison Sky,2014,Bronx Archway,public,
Allan & Ellen Wexler,1992,West Side High School Park,percent,yes
Allan & Ellen Wexler,1999,Abstractions I.S. 254,percent,yes
Allan & Ellen Wexler,1999,Drawing P.S. 340 and A Coordinated Plane Patio,percent,yes
Allan Hermes,1937,PORTRAIT OF DR. HYMAN ALPERN,education,
Allan Hermes,1937,"PORTRAIT OF PRINCIPAL, DR. JAMES",education,
Allan Hermes,1937,"""CHARLES E. SPRINGMEYER PRINCIPAL OF FRANKLIN K. LANE HIGH SCHOOL 1923-1948",education,
Allan Hermes,,"""FRANKLIN KNIGHT LANE, SECRETARY OF THE INTERIOR 1913-1915""",education,
Allan McCollum,2016,Shapes,percent,yes
Allen and Ellen Wexler,2009,Overlook,mta,
Allen Newman,1916,The Hiker,public,
Allen Newman,1932,Daniel D. Tompkins,public,
Alton Tobey,1976,FREEDOM TO INVENT,education,
Alton Tobey,1976,THE BEGINNING AND THE END OF THE BEGINNING,education,
Alton Tobey,,THE BEGINING AND THE END OF THE BEGINING (PRINT- SAME IMAGE AS 20169),education,
Alvin Dickstein,,SQUARES IN SQUARE,education,
Alyson Shotz,2013,Nautical Charts â“ Gowanus & Red Hook from 1733-1922; Fathom Points + Compass Bearings ,mta,
Amanda Jaffe,1996,South American Tropical Forest and African Savannah,public,yes
Amanda Schachter & Alexander Levi,2015,Cross-Bronx Waterway ,mta,
Ami Shamir,1985,ENVIRONMENTAL SCULPTURE,education,
Amir Bey,2006,The Procession of Folk #3 ,mta,
Amy Bennett,2011,Heydays ,mta,
Amy Cheng,2002,SEEN THROUGH THE LAYERS OF TIME,education,yes
Amy Cheng,2003,SQUA MAQUETTE STUDY,education,
Amy Cheng,2003,MAQUETTE STUDY FOR BRANCHES,education,
Amy Cheng,2003,TRANSPORTATION MAQUETTE STUDY,education,
Amy Cheng,2003,MARTIN LUTHER KING MAQUETTE STUDY,education,
Amy Cheng,2003,FRANKLIN D. ROOSEVELT MAQUETTE STUDY,education,
Amy Cheng,2003,INDEPENDENCE MAQUETTE STUDY,education,
Amy Cheng,2003,PILGRIMS MAQUETTE STUDY,education,
Amy Cheng,2003,INDIAN MAQUETTE STUDY,education,
Amy Cheng,2003,MASPETH MAQUETTE STUDY,education,
Amy Cheng,2003,EMS NYPD MAQUETTE STUDY,education,
Amy Cheng,2003,LINCOLN MAQUETTE STUDY,education,
Amy Cheng,2003,JOURNEY MAQUETTE STUDY,education,
Amy Cheng,2003,FDNY MAQUETTE STUDY,education,
Amy Cheng,2007,Las Flores ,mta,
Amy Cheng,2012,Rediscovery ,mta,
Amy Davidson,1985,Frank D. Paulo,public,
Amy Jones,1956,CHRISTMAS IN ROME,education,
Amy Jones,1967,LUCY ON PFEIFFERS BEACH,education,
Amy Jones,1969,HUDSON RIVER ICE FLOES (BROWN),education,
