Vito," ""Acconci"""," """""," """""," """""," """""," ""Courtyard Design"""," ""1995"""," ""Stamped concrete", steel seating," plantings"""," ""Landscape Design"""," ""na"""," ""Accessible"""," ""Accessible"""," ""Perkins & Will"""," ""Department of Education"""," ""School Construction Authority"""," ""Public School 3"""," ""School"""," ""2100 La Fontaine Avenue"""," ""40.8499755710363"""," ""-73.8922465592622"""," ""Bronx"""," ""NY"""," ""10457-3333"""," ""Belmont"""," ""Bronx"""," ""6"""," ""4 (Burnside Avenue)"""," ""Vito Acconci redesigned the courtyard of P.S. 3 to reflect the architectural elements of the school building. Benches and planters represent the windows and designs in the pavement represent other elements of the school's facade. The result is an enhanced architectural environment wherein", as the artist describes," \""the walls that enclose the children inside become the ground that children walk over and play on"," outside.\"""""," ""Vito Acconci was born in the Bronx and began his career as a poet. In his first work in a visual art context in the late 1960's and early 1970's", the artist used his own body as a subject for photography, film, video, and performance. In the mid 70's, Acconci created audiovisual installations that turned exhibition spaces into community meeting places, and in the 80's he invited viewers to create artwork by activating machinery that erected shelters and signs. He also turned to the creation of furniture and to prototypes of houses and gardens in the late 80's. Most recently, the artist has focused on architecture and landscape design that integrates public and private space. As a group, the Acconci studio designs and builds public projects in parks, city streets," and city buildings."""," """""," ""vacconci.jpg"""," ""vacconci-a.jpg"""," """""," """""," """""," """""," ""0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vito," ""Acconci"""," """""," """""," """""," """""," ""Edge of the PlantEdge of the Neighborhood"""," ""2010"""," ""Perimeter treatment"""," ""Landscape Design"""," """""," ""Accessible"""," ""Accessible"""," """""," ""Department of Environmental Protection"""," ""Department of Cultural Affairs"""," ""Newtown Creek Water Pollution Control Plant"""," ""Other"""," ""Greenpoint Avenue and Provost Street"""," ""40.7306696037359"""," ""-73.9492315563273"""," ""Brooklyn"""," ""NY"""," ""11222"""," ""Greenpoint"""," ""Brooklyn"""," ""1"""," ""G  (Greenpoint Avenue)"""," ""Acconci's artwork �shakes� or �loosens� the edge of the Newtown Creek Water Pollution Control Plant", where the plant and the neighborhood meet. Instead of the rigid lines and clear demarcations we expect, the fountain's edge deliberately confounds us. The fountain curves backwards and forwards along the perimeter of the plant. At the entrance to the plant, waterfalls greet visitors; a pond becomes part of the building, visible through a glass enclosure. Outside, the concrete base of the fountain loops into the pond, bringing a strip of sidewalk down into the water and extending the sidewalk into the building. At the bottom of the ramp into the plant," you can sit surrounded by the pond � you're inside the space of the building but outside the actual walls of the building."""," ""Acconci Studio is a mix of poetry & geometry", computer-scripting & sentence-structure, narrative & biology. They make spaces inside-out & fluid, braided & knotted & morphed, stretched out & burst into particles: they want their spaces to liberate their users. They design buildings & plazas & landscapes," but they design also furniture & clothing & vehicles & products."""," """""," ""vacconcistudio.jpg"""," """""," """""," """""," """""," """""," ""1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mac," ""Adams"""," """""," """""," """""," """""," ""World Patterns and Fables"""," ""1996"""," ""Ceramic tiles"," mosaic"""," ""Mural"""," ""na"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Eliseo Bostwick & Purcell"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 20"""," ""School"""," ""142-30 Barclay Avenue"""," ""40.7586832344532"""," ""-73.824895620346"""," ""Flushing"""," ""NY"""," ""11355-2558"""," ""Flushing"""," ""Queens"""," ""7"""," ""7 (Flushing - Main Street)"""," ""Mac Adams's World Patterns and Fables consists of four large-scale ceramic and mosaic murals"," two located in the hallways and two in the enclosed play area of P.S. 20. The artist researched fables and textile prints from countries that represent the multi-ethnic community in which the school is located. Within each mural are mosaic disks that depict silhouettes of the animal characters from the fables. Each of the mosaic disks is surrounded by samples of textile prints."""," ""Mac Adams is both a sculptor and a photographer. He has completed over 50 solo exhibitions in the United States", Europe, and Japan. In addition he has completed several permanent installations, among the most notable, the Korean War Memorial in Battery Park, New York City, and Meditation commissioned by the city of Strasbourg," France for the Louis Pasteur University Botanical Gardens."""," ""\""I believe each project requires a different design solution. Successful public art projects utilize the ear as much as the eye. In the case of P.S. 20", by listening to the requests of the principal and teachers," I was able to filter their needs for a multi-ethnic solution which reflected the very diverse student body and surrounding community.\"" -- Adams"," 1997"""," ""madams.jpg"""," ""madams-a.jpg"""," """""," """""," """""," """""," ""2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis," ""Adams"""," """""," """""," """""," """""," ""Tributaries"""," ""1995"""," ""Photographic lightboxes"""," ""Mutiple Works Other"""," ""Variable"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Gruzen Samton Steinglass"""," ""Board of Education"""," ""School Construction Authority"""," ""Long Island City High School"""," ""School"""," ""14-30 Broadway"""," ""40.7659312337636"""," ""-73.9329725503921"""," ""Astoria"""," ""NY"""," ""11106-4530"""," ""Long Island City"""," ""Queens"""," ""1"""," ""N (Broadway)"""," ""Tributaries is a series of twelve back-illuminated photographs installed in the area of the twelve drinking fountains in the public school corridors. The photographs document seminal moments in the American Civil Rights Movement. Their placement at the fountains invites the students to consider the images during a moment of individual reflection"," or converse together as the fountains provide a natural gathering place during the school day."""," ""Dennis Adams is perhaps best known for his bus shelter photographic installations which are intended to bring the user into a more active critical role with the space", the architecture of the structure," and the effect of the imagetext panels. His intention is for the composite of these elements to form a \""vehicle for communication.\"" Adams' work has been exhibited extensively throughout the United States and internationally. His public projects have recently appeared in Paris", France; Essen, Germany; Seattle," Washington; and New York City."""," ""\""The title of the work Tributaries has two connotations. In one sense", it references a branch of water that flows away from the main stream. The meaning further suggests a line of dissent, a rupture in the dominant movement of society. In another sense, it references a tribute," suggesting a site of commemoration.\"" -- Adams"," 1993"""," ""dadams.jpg"""," ""dadams-a.jpg"""," """""," """""," """""," """""," ""3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice," ""Adams"""," """""," """""," """""," """""," ""African Garden"""," ""1994"""," ""Cast iron", steel," wood"""," ""Mutiple Works Other"""," ""16\"" x 15\"" x 5'3\"""""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Perkins & Will"""," ""Board of Education"""," ""School Construction Authority"""," ""PS 12"""," ""School"""," ""430 Howard Avenue"""," ""40.6730812042951"""," ""-73.9195923507213"""," ""Brooklyn"""," ""NY"""," ""11233-4558"""," ""Brownsville  Crown Heights"""," ""Brooklyn"""," ""16"""," ""C (Ralph Avenue)"""," ""Alice Adams designed a schoolyard garden and seating area between two playgrounds at P.S. 12. Inspired by African design and woodwork"," African Garden includes fourteen cast-iron fabricated steel and wooden seats surrounded by various plantings flanking a path. The sculptural qualities of the fabricated components emphasize and pay homage to the richness and formal diversity of traditional gardens and garden furniture."""," ""Born in New York City and educated at Columbia University and L'Ecole Nationale d'Art Decoratif in Aubusson", France, Alice Adams' numerous awards and grants include: a Guggenheim Fellowship, National Endowment for the Arts grants in sculpture, and the American Academy and Institute of Arts and Letters Award in sculpture. She has taught at Manhattanville College, Pratt Institute, and the School of Visual Arts. Her work has been exhibited both nationally and internationally. She has completed sculptural works for the Denver International Airport, Thomas Jefferson University in Philadelphia, The Port Authority of New York and New Jersey, and the Riverview Hospital for Children and Youth in Middletown, Connecticut. She has also been involved in mass transit projects for the Downtown Seattle Transit Project, St. Louis MetroLink, New York City MTA Arts for Transit, and the Midland Metro in Birmingham," England."""," ""\""Each African Garden seat is different", each a separate sculpture and a seat at the same time. I liked them so much when they were finished that I hated to give them away. In the end, however, I was satisfied that I had made a whole new place for the children of the school," when I saw that they had taken over the garden as their own.\"" -- Adams"," 1994"""," ""aadams.jpg"""," """""," """""," """""," """""," """""," ""4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert," ""Adzema"""," """""," """""," """""," """""," ""Sundial"""," ""1994"""," ""Painted steel"," brass paving inserts"""," ""Sculpture"""," ""na"""," ""Accessible"""," ""Accessible"""," ""Shuman Lichtenstein Claman Efron"""," ""Board of Education"""," ""School Construction Authority"""," ""Port Richmond High School"""," ""School"""," ""85 St. Joseph's Avenue"""," ""40.5795659204101"""," ""-74.1531753540039"""," ""Staten Island"""," ""NY"""," ""10302-1115 """," ""Port Richmond"""," ""Staten Island"""," ""1"""," ""X10 Bus (Port Richmond Avenue - Homestead Avenue)"," Staten Island Ferry (St. George Terminal)"""," ""Robert Adzema constructed this large", free-standing sundial sculpture from steel and painted it a brilliant yellow hue so that shadows would be made visible. Located on the grounds in front of the school, Sundial emphasizes the north-south axis of the site. An aperture near the top of the sundial casts a beam of light on the ground that crosses the north-south line," marking high noon in solar time."""," ""Robert Adzema is a sculptor who is best known for his sundial sculptures for private as well as public spaces. He has an intense love of architecture and is interested in the integration of sculpture", sculptural decoration," and the development of sculptural programs for buildings and landscape situations. He is co-author of The Great Sundial Cutout Book and has executed numerous public and private commissions both here and in Europe. Adzema's artistic background is as a figurative sculptor and industrial designer. He received his Bachelor of Industrial Design from Pratt Institute and his M.F.A. from Indiana University."""," ""If I have succeeded as an artist with this project", it will affect the lives of those people who pass it daily, offering inspiration, inviting someone to pause in their day, consider their place in relation to the world at large, to notice sunlight and shadow, to try and understand it's geometry, and maybe even suggesting a direction, an idea to steer by. -- Adzema," 1996"""," ""radzema.jpg"""," ""radzema-a.jpg"""," """""," """""," """""," """""," ""5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ann," ""Agee"""," """""," """""," """""," """""," ""World's Fair 2003"""," ""2003"""," ""Porcelain"," ceramics"""," ""Mural"""," ""Variable"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""School Construction Authority"""," ""Board of Education"""," ""School Construction Authority"""," ""Intermediate School 137"""," ""School"""," ""109-15 98th Street"""," ""40.6781405210495"""," ""-73.8399776816368"""," """""," ""NY"""," ""11417-2113"""," ""Ozone Park"""," ""Queens"""," ""10"""," ""A (Rockaway Boulevard)"""," ""A tiled wall with a long", built-in, glass case filled with figurines graces the lobby of I.S. 137. Painted on the tiles, with ceramic glazes and enamels, are floating circles of various sizes and colors. Each one is a painting of junior high school students in the midst of some creative work. These actions take place in the dreamy decorative landscape of traditional pottery, with ornamental details around the circular painted frames that come from looking at Dutch, Mexican, Islamic, Chinese and other sources of design. The porcelain figurines in the glass case are 3-D versions of the 2-D paintings on the tile wall. The various cultures of Queens are portrayed in the different fashions worn by the figurines. By capturing the fashions of the present time," the installation will take on a historical feature for future generations of students."""," ""Ann Agee was born in Philadelphia", PA.  She is a renowned artist whose work has been exhibited throughout the United States including the Los Angeles Museum of Art, The Robbins Center for Graduate Studies at the University of Michigan, and The Peabody Essex Museum in Salem, MA.  Her porcelain tiles and pieces are extremely detailed and colorful.  Her public art pieces include projects in Sheboygan, Wisconsin and Guanaguato," Mexico."""," ""\""My idea was to design something that would respond in contrast to the institutional materials that the school is made of.  I wanted the lobby to be full of warmth and happiness.  Essential to me were several things: that the tiles be handmade", that the figurines be small and hand-built, that there would be a rich pallet of china paint, and gold," and that everything be hand-painted.\"" - Agee"," 2003"""," ""aagee.jpg"""," ""aagee-a.jpg"""," ""aagee-b.jpg"""," ""aagee-c.jpg"""," """""," """""," ""6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John," ""Ahearn"""," """""," """""," """""," """""," ""The Sixth Graders"""," ""2012"""," ""Cast hydrocal with acrylic"""," ""Sculpture"""," ""Variable"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," """""," ""Board of Education"""," ""School Construction Authority"""," ""Public School59 Meeth School"""," ""School"""," ""213 East 63rd Street"""," ""40.7640190124511"""," ""-73.9635391235351"""," ""New York"""," ""NY"""," ""10065"""," ""Upper East Side"""," ""Manhattan"""," """""," """""," """""," ""John Ahearn was born in Binghamton", New York in 1951 and lives and works in New York City. He was a founding member of Collaborative Projects, Inc. and co-organizer of the �Times Square Show,� 1980. John Ahearn's work alongside that of his long-time collaborator, Rigoberto Torres was the subject of a survey exhibition, �South Bronx Hall of Fame,� organized by the Contemporary Arts Center, Houston in 1991 which traveled to museums in Europe and North America. In the 1980s and 1990s the artists executed several outdoor murals in the Bronx, New York and collaborated on public projects and exhibitions in Europe and North America. Between 2000 and 2002 John Ahearn completed a public project in Pan Chiao, Taiwan and between 2005 and 2006, Ahearn and Torres collaborated on two large scale wall murals at the Inhotim Centro de Arte Contempor�nea in Brazil. In the fall of 2010, their work was the subject of a solo exhibition at the Aljira Center for Contemporary Art in Newark. In May 2012, John Ahearn participated in the special projects section of the Frieze Art Fair on Randall's Island, where he presented a reconstruction of his legendary 1979 exhibition at Fashion Moda," �South Bronx Hall of Fame.�"""," """""," ""jahearn.jpg"""," ""jahearn-a.jpg"""," ""jahearn-b.jpg"""," ""jahearn-c.jpg"""," """""," """""," ""7""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candida," ""Alvarez"""," """""," """""," """""," """""," ""What Do You See?"""," ""1994"""," ""Hand-blown antique glass", lead," bronze"""," ""Architectural Integration"""," ""Variable"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""School Construction Authority"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 306"""," ""School"""," ""40 West Tremont Avenue"""," ""40.852049"""," ""-73.9102703332901"""," ""Bronx"""," ""NY"""," ""10453-5400"""," ""Morris Heights"""," ""Bronx"""," ""5"""," ""4 (Burnside Avenue)"""," ""Located on several floors of P.S. 306 (known as P.S. 206 when the piece was commissioned)", Candida Alvarez's work consists of six banks of windows containing a total of forty-eight individual glass panels. Alvarez integrated subject-matter drawn from the middle-school curriculum into the panels, including imagery taken from life science, earth science, and mathematics classes. For example, the windows on the fourth floor explore mathematical concepts and use geometric shapes to lead students to discover polygons, angles, diagonals, and various units of measure. On the third floor, the windows focus on basic human life-systems," with images that suggest the workings of the human body."""," ""Born in Brooklyn"," Candida Alvarez attended Fordham University and Skowhegan School of Painting and Sculpture. Her work has been exhibited in several one-person exhibitions as well as numerous group exhibitions. She was awarded an Artist Fellowship from Art Matters in New York City in 1989 and a Regional Fellowship from the National Endowment for the Arts in 1988."""," ""I see an integration of transparent glass and opaque glass. Visually this can be very exciting because unlike clear glass", opaque glass can be seen at night. So while all the other colors fade into darkness, there will be shapes that can still be seen. Although this proposal appears fairly representational, I trust in the power of transmitted light to alter that perception into a magical and powerful arrangement of form and color. -- Alvarez," 1994"""," ""calvarez.jpg"""," ""calvarez-a.jpg"""," """""," """""," """""," """""," ""8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma," ""Amos"""," """""," """""," """""," """""," ""The Sky's the Limit"""," ""1995"""," ""Glass mosaic"""," ""Mural"""," ""na"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Richard Dattner and Partners Architects"""," ""Board of Education"""," ""School Construction Authority"""," ""Intermediate School 90"""," ""School"""," ""21 Jumel Place"""," ""40.8393164724111"""," ""-73.9361576735973"""," ""New York"""," ""NY"""," ""10032-4316"""," ""Washington Heights"""," ""Manhattan"""," ""12"""," ""A"," C (168th Street - Washington Heights)"""," ""Emma Amos's work", a mixture of Venetian and Tiffany-style flat-glass mosaics, is installed on the ceiling 10 feet (3 m) above the school's lobby space. The colorful composition includes dancers, athletes, and students of diverse ethnicities, as well as symbols of culture, history, and art. According to the artist, these playful figures floating on a brilliant blue background, transform the entry area into a celebration of life, discovery," and learning."""," ""The Sky's the Limit represents a natural progression from Emma Amos' paintings", many of which depict figures falling or floating against an abstract and painterly background. Culture, feminism, art history, and personal identity have been referenced in a diverse body of art work. Emma Amos Changing the Subject: Painting and Prints 1992-1994, a solo exhibition," was featured at Art in General in New York City."""," ""Making public art is a collaborative act", like making good theater. Even before the artist is chosen, the architects and engineers design, build, and construct. The artist, with the public as audience, and other artists and artisans in the wings, makes a production that must please even the group of wary producers (the administrators) who bet on its being a hit. With public art we hope the applause lasts forever. -- Amos," 1997"""," ""eamos.jpg"""," ""eamos-a.jpg"""," ""eamos-b.jpg"""," """""," """""," """""," ""9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhoda," ""Andors"""," """""," """""," """""," """""," ""Ecotones"""," ""1995"""," ""Fresco"""," ""Mural"""," ""36\"" diameter"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""School Construction Authority"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 195"""," ""School"""," ""131 Irwin Street"""," ""40.5795210599899"""," ""-73.9438455551862"""," ""Brooklyn"""," ""NY"""," ""11235"""," ""Manhattan Beach"""," ""Brooklyn"""," ""15"""," ""B"," Q (Brighton Beach)"""," ""The fresco designed by Rhoda Andors reflects the unique geographic proximity of P.S. 195 to the larger natural marine world which surrounds Manhattan Beach on three sides. Andors' vibrant mural which incorporates the aquatic", terrestrial, and aerial life of the area, creates a metaphorical window onto the natural world. The animals are rendered and placed in characteristic locations," such as a Laughing Gull giving the \""long call","\"" a signal of the coming of Spring. Seeing the mural provides the school children with a learning tool and gives them a sense of their own location in the natural world. The mural's balance between its study of nature and physical exhilaration is characteristic of the experience a child receives when standing at the water's edge."""," ""Artist Rhoda Yohai Andors is a summa cum laude", B.A. graduate of Princeton University and holds an M.F.A. from the City University of New York at Brooklyn College, where she was elected Presidential Scholar. She was also the recipient of scholarships to the National Academy School of Fine Arts and the Skowhegan School of Painting and Sculpture, where she studied fresco painting with William King. Andors has won four public art competitions for her mural designs (Public Art Fund, Council on the Environment of New York City, CityArts Workshop, Skowhegan School of Painting and Sculpture) and completed murals for both public and private institutions including the MTA for the NYC Subway System (1987) and the NYC Percent for Art Program for the New York City Board of Education (1995). Her murals for the Board of Education were the first true frescoes commissioned by the City of New York in fifty years. She served as Secretary (1988-1991) and President of the National Society of Mural Painters (1991-1995) and Arts-In-Education Director of BACAThe Brooklyn Arts Council (1991-1994). She is currently working on fresco commissions on environmental themes and teaches fresco classes in her Greenpoint," Brooklyn studios."""," ""My guiding philosophy for this proposal is to create symbolic and decorative windows onto the life of the sea and sky. My purpose is to inform and delight viewers in the auditorium", especially the children. -- Andors," 1992"""," ""randors.jpg"""," ""randors-a.jpg"""," ""randors-b.jpg"""," """""," """""," """""," ""10""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
