title,artist,created,date,creditline
Column of Jerash,NULL NULL,120,1964,Gift of King Hussein of Jordan
Amiable Child Memorial,NULL NULL,1797,1967,NULL
Fort George Memorial Tablet,NULL NULL,1818,1818,Gift of the Corporation of the City of New York
Firemen's Memorial,NULL NULL,1834,1834,Gift of Eagle Fire Company and Friends
Madison Square Fountain,NULL NULL,1842,1867,NULL
Eagles and Prey,Christophe Fratin,1850,1863,Gift of Gordon Webster Burnham
George Washington,Henry Brown,1856,1856,Gift of Merchants of New York
General William Jenkins Worth,James Batterson,1857,1857,Gift of Corporation of the City of New York
Johann Christoph Friedrich Von Schiller,C.L. Richter,1859,1859,"Gift of German-American Group, Cannstatter Volksfest-Verein"
Flushing Park Memorial,NULL NULL,1865,1865,Gift of G.A.R. (Grand Army of the Republic)
Soldiers Monument,Daniel Draddy,1866,1866,"Gift of Mayor, Alderman and commonality of the City of New York"
The Indian Hunter,John Ward,1866,1869,Gift of the Indian Hunter Fund
Tigress and Cubs,Auguste Caïn,1866,1867,"Gift of Samuel F.B. Morse, John Jay, Robert Hoe, William T. Blodgett, and eight other New Yorkers"
Christopher Columbus,Emma Stebbins,1867,1934,Gift of Marshal O. Roberts
Abraham Lincoln,Henry Brown,1869,1870,Gift of the Union League Club
Abraham Lincoln,Henry Brown,1869,1869,Gift of The Citizens of Brooklyn
Alexander von Humboldt,Gustav Bläser,1869,1869,Gift of the Humboldt Memorial Association
Seventh Regiment Memorial,John Ward,1869,1870,"Gift of 7th Regiment National Guard, State of New York"
Cherry Hill Fountain,NULL NULL,1870,1870,NULL
Samuel Finley Breese Morse,Byron Pickett,1870,1871,Gift of Telegraph Operators (public subscription)
William Shakespeare,John Ward,1870,1872,Gift of the Citizens of New York
Benjamin Franklin,Ernst Plassman,1871,1872,Gift of Albert DeGroot
City Hall Park Fountain,NULL NULL,1871,1871,NULL
The Falconer,George Simonds,1871,1875,Gift of George Kemp
Washington Irving Memorial,James MacDonald,1871,1871,Gift of Demas Barnes
Robert Fulton,Caspar Buberl,1872,1872,Gifted by The Society of Old Brooklynites
Rockefeller Fountain,Biagio Catella,1872,1903,Gift of William Rockefeller
Sir Walter Scott,Sir John Steell,1872,1872,Gift of Scottish Americans
Bethesda Fountain,Emma Stebbins,1873,1873,Commissioned by the City of New York
Marquis de Lafayette,Frederic Bartholdi,1873,1876,Gift of French Residents in New York
Daniel Webster,Thomas Ball,1876,1876,Gift of Gordan W. Burnham
Fitz Greene Halleck,James MacDonald,1876,1877,Gift of Public Subscription
Giuseppe Mazzini,Giovanni Turini,1876,1878,Gift of Italians in the United States of America
William Henry Seward,Randolph Rogers,1876,1876,Gift of Public Subscription
Thomas Moore,Dennis Sheahan,1879,1879,Gift of the Friendly Sons of St. Patrick Society
Thomas Moore,John Draddy,1879,1879,Gift of St. Patrick Society of the City of Brooklyn
Admiral David Glasgow Farragut,Augustus Saint-Gaudens,1880,1881,Gift of New York Farragut Association
Alexander Hamilton,Carl Conrads,1880,1880,Gift of John C. Hamilton
Robert Burns,Sir John Steell,1880,1880,Gift of Saint Andrew's Society and Scottish-Americans
Union Square Drinking Fountain,Karl Donndorf,1881,1881,"Gift of Daniel Willis James and Theodore Roosevelt, Sr."
Still Hunt,Edward Kemeys,1883,1883,Gifted to the City of New York by An Anonymous Donor
Conrad Poppenhusen Memorial,Henry Baerer,1884,1884,Gift of Residents of College Point
Ludwig Van Beethoven,Hugo Hagen,1884,1884,Gift of The Beethoven Maennerchor
Robert Richard Randall,Augustus Saint-Gaudens,1884,1884,Gift of Trustees of Snug Harbor
Pilgrim,John Ward,1885,1885,Gift of the New England Society
Washington Irving Memorial,Friedrich Beer,1885,1885,Gift of Joseph Weiner
William Earl Dodge,John Ward,1885,1885,Gift of the Chamber of Commerce of the State of New York
Giuseppe Garibaldi,Giovanni Turini,1888,1888,Gift of Italian Americans
Heinrich Heine Fountain,Ernst Herter,1888,1899,Gift of Arion (German-American singing society)
Temperance Fountain,Albert Thorvaldsen,1888,1891,Gift of the Henry Cogswell and the Moderation Society
