source,artist,first year,second year,percent funded
education,Adam Bartos,education 1987,moma 1992,
mta,Al Held,moma 1968,mta 2004,
mta,Al Loving,mta 2001,moma 2013,
mta,Alan Sonfist,moma 1971,mta 1993,
mta,Alex Katz,moma 1967,mta 2018,
education,Alice Adams,moma 1983,education 1993,yes
mta,Alice Adams,moma 1983,mta 1995,
public,Alice Aycock,moma 1978,public 1995,
public,Alison Saar,moma 1993,public 2008,yes
mta,Alison Saar,mta 1991,moma 1993,
percent,Allan McCollum,moma 1988,percent 2016,yes
mta,Alyson Shotz,moma 1997,mta 2013,
mta,Ann Hamilton,moma 1994,mta 2018,
education,Anton Refregier,moma 1939,education 1958,
mta,Anton van Dalen,moma 1993,mta 1997,
education,Antonio Martorell,moma 1964,education 1994,yes
education,Art Spiegelman,moma 1992,education 2012,
education,Ben Schonzeit,moma 1976,education 1996,
percent,Ben Schonzeit,moma 1976,percent 1996,yes
education,Ben Shahn,moma 1935,education 1957,
education,Bernard Steffen,education 1937,moma 1948,
public,Bryan Hunt,moma 1977,public 2006,
public,Cai Guo-Qiang,moma 1999,public 2007,yes
education,Camille Billops,education 1995,moma 2020,
education,Carrie Mae Weems,moma 1991,education 1999,yes
education,Chaim Gross,education 1935,moma 1937,
public,Chaim Gross,moma 1937,public 1992,
education,Charles Gaines,education 1980,moma 2011,
mta,Chuck Close,moma 1972,mta 2017,
education,Concetta Scaravaglione,education 1940,moma 1943,
education,Costantino Nivola,education 1955,moma 1976,
public,Daniel LaRue Johnson,moma 1965,public 1980,
education,David Freed,moma 1975,education 1982,
education,David Opdyke,moma 2005,education 2010,yes
mta,David Saunders,moma 1988,mta 1992,
public,David Saunders,moma 1988,public 1994,yes
mta,David Storey,moma 1987,mta 2019,
education,Dennis Adams,moma 1990,education 1995,yes
mta,Dennis Oppenheim,moma 1969,mta 2006,
public,Dolly Perutz,moma 1959,public 1991,
education,Eldzier Cortor,moma 1975,education 1976,
public,Elizabeth Catlett,moma 1988,public 2003,
mta,Elizabeth Murray,moma 1983,mta 2001,
education,Elizabeth Olds,education 1931,moma 1941,
public,Elyn Zimmerman,moma 1995,public 2009,
education,Emily Fuller,education 1972,moma 1978,
education,Emma Amos,moma 1975,education 1994,yes
mta,Eric Fischl,moma 1982,mta 2001,
public,Eric Fischl,moma 1982,public 2000,
education,Ernest Fiene,moma 1940,education 1955,
education,Evergon,moma 1987,education 1988,
education,Faith Ringgold,moma 1993,education 1994,yes
mta,Faith Ringgold,moma 1993,mta 1996,
education,Federico Castellon,education 1934,moma 1939,
percent,Fred Tomaselli,percent 1996,moma 1997,yes
education,Fred Wilson,education 1995,moma 2003,yes
education,George Constant,education 1938,moma 1940,
education,George Nelson,education 1927,moma 1953,
public,George Segal,moma 1963,public 1992,
education,Gregory Gillespie,education 1984,moma 1988,
education,Harry Gottlieb,education 1937,moma 1941,
education,Harry Sternberg,moma 1940,education 1940,
education,Hugo Gellert,moma 1934,education 1970,
education,Hugo Robus,education 1937,moma 1963,
percent,Ingrid Calame,moma 2001,percent 2005,yes
education,Irving Amen,moma 1949,education 1960,
education,Isami Doi,moma 1934,education 1940,
mta,Jack Beal,moma 1969,mta 2005,
education,Jack Roth,moma 1962,education 1981,
mta,Jackie Ferrara,moma 1979,mta 2000,yes
public,Jackie Ferrara,moma 1979,public 2001,yes
mta,Jacob Lawrence,moma 1942,mta 2001,
