source,artist,first year, second year,
education,Mary Callery,education 1958,moma 1944,
education,George Nelson,education 1925,moma 1953,
education,George Nelson,education 1927,moma 1953,
education,Elizabeth Olds,education 1931,moma 1941,
education,Elizabeth Olds,education 1931,moma 1941,
education,Paul Cadmus,education 1932,moma 1941,
education,Rockwell Kent,education 1933,moma 1940,
education,Federico Castellon,education 1934,moma 1939,
education,Louis Lozowick,education 1934,moma 1940,
education,Louis Lozowick,education 1934,moma 1940,
education,Chaim Gross,education 1935,moma 1937,
education,Chaim Gross,education 1935,moma 1937,
education,Chaim Gross,education 1935,moma 1937,
education,Chaim Gross,education 1935,moma 1937,
education,Joseph Margulies,education 1935,moma 1960,
education,Joseph Margulies,education 1935,moma 1960,
education,Joseph Margulies,education 1935,moma 1960,
education,Elizabeth Olds,education 1936,moma 1941,
education,Jean Charlot,education 1936,moma 1937,
education,Louis Lozowick,education 1936,moma 1940,
education,Sarah Berman,education 1936,moma 1941,
education,Bernard Steffen,education 1937,moma 1948,
education,Elizabeth Olds,education 1937,moma 1941,
education,Ernest Fiene,education 1937,moma 1940,
education,George Constant,education 1937,moma 1940,
education,George Constant,education 1937,moma 1940,
education,George Constant,education 1937,moma 1940,
education,George Constant,education 1937,moma 1940,
education,Harry Gottlieb,education 1937,moma 1941,
education,Harry Sternberg,education 1937,moma 1940,
education,Harry Sternberg,education 1937,moma 1940,
education,Hugo Robus,education 1937,moma 1963,
education,Hugo Robus,education 1937,moma 1963,
education,Joseph Margulies,education 1937,moma 1960,
education,Joseph Margulies,education 1937,moma 1960,
education,Joseph Margulies,education 1937,moma 1960,
education,Joseph Margulies,education 1937,moma 1960,
education,Luis Arenal,education 1937,moma 1943,
education,Mabel Dwight,education 1937,moma 1940,
education,Raphael Soyer,education 1937,moma 1940,
education,Raphael Soyer,education 1937,moma 1940,
education,Ruth Reeves,education 1937,moma 1964,
education,Elizabeth Olds,education 1938,moma 1941,
education,George Constant,education 1938,moma 1940,
education,Riva Helfond,education 1938,moma 1941,
education,Riva Helfond,education 1938,moma 1941,
education,Joseph Hirsch,education 1939,moma 1939,
education,Louis Lozowick,education 1939,moma 1940,
education,Concetta Scaravaglione,education 1940,moma 1943,
education,Riva Helfond,education 1940,moma 1941,
education,Ruth Reeves,education 1940,moma 1964,
education,Joseph Margulies,education 1945,moma 1960,
education,Costantino Nivola,education 1956,moma 1976,
education,Costantino Nivola,education 1956,moma 1976,
education,Costantino Nivola,education 1960,moma 1976,
education,Costantino Nivola,education 1965,moma 1976,
education,Costantino Nivola,education 1965,moma 1976,
education,Costantino Nivola,education 1968,moma 1976,
education,Costantino Nivola,education 1968,moma 1976,
education,Costantino Nivola,education 1970,moma 1976,
education,Costantino Nivola,education 1972,moma 1976,
education,Emily Fuller,education 1972,moma 1978,
education,Costantino Nivola,education 1973,moma 1976,
education,Camille Billops,education 1975,moma 2020,
education,Charles Gaines,education 1980,moma 2011,
education,Knox Martin,education 1982,moma 2005,
education,Gregory Gillespie,education 1984,moma 1988,
education,Judy Pfaff,education 1986,moma 1987,
education,Susan Hambleton,education 1986,moma 2003,
education,Adam Bartos,education 1987,moma 1992,
education,Perry Hoberman,education 1988,moma 2000,
education,Camille Billops,education 1995,moma 2020,
education,Camille Billops,education 1995,moma 2020,yes
education,Fred Wilson,education 1995,moma 2003,yes
education,Maren Hassinger,education 1995,moma 2018,yes
education,Camille Billops,education 1996,moma 2020,
education,Maren Hassinger,education 1996,moma 2018,yes
education,Lane Twitchell,education 2000,moma 2005,yes
education,Matt Mullican,education 2003,moma 1983,
education,Sanford Biggers,education 2010,moma 2011,yes
education,Jeffrey Gibson,education 2012,moma 2021,
education,Hugo Gellert,moma 1934,education 1970,
education,Isami Doi,moma 1934,education 1940,
education,Ben Shahn,moma 1935,education 1957,
education,Chaim Gross,moma 1937,education 1962,
public,Chaim Gross,moma 1937,public 1992,
education,Anton Refregier,moma 1939,education 1958,
education,Ernest Fiene,moma 1940,education 1940,
education,Ernest Fiene,moma 1940,education 1955,
education,Harry Sternberg,moma 1940,education 1940,
mta,Jacob Lawrence,moma 1942,mta 2001,
education,Mary Callery,moma 1944,education 1954,
education,Mary Callery,moma 1944,education 1958,
education,Romare Bearden,moma 1945,education 1977,
mta,Romare Bearden,moma 1945,mta 1993,
education,Irving Amen,moma 1949,education 1960,
education,Seong Moy,moma 1949,education 1984,
public,Theodore Roszak,moma 1950,public 1964,
education,Leon Golub,moma 1952,education 1984,
public,Richard Hunt,moma 1957,public 1976,
public,Louise Nevelson,moma 1958,public 1973,
public,Louise Nevelson,moma 1958,public 1978,
public,Dolly Perutz,moma 1959,public 1991,
education,Reuben Nakian,moma 1959,education 1983,
mta,Robert Goodnough,moma 1959,mta 2010,
education,Jack Roth,moma 1962,education 1981,
mta,Roy Lichtenstein,moma 1962,mta 2002,
public,George Segal,moma 1963,public 1992,
education,Antonio Martorell,moma 1964,education 1994,yes
education,Antonio Martorell,moma 1964,education 1994,
public,Daniel LaRue Johnson,moma 1965,public 1980,
education,Steve Poleskie,moma 1965,education 1978,
education,Liliana Porter,moma 1966,education 2007,yes
mta,Liliana Porter,moma 1966,mta 1994,
mta,Milton Glaser,moma 1966,mta 1986,
public,Roger Bolomey,moma 1966,public 1973,
mta,Alex Katz,moma 1967,mta 2018,
mta,Al Held,moma 1968,mta 2004,
mta,Keith Godard,moma 1968,mta 2002,
public,Richard Artschwager,moma 1968,public 2014,yes
mta,Dennis Oppenheim,moma 1969,mta 2006,
mta,Jack Beal,moma 1969,mta 2005,
education,Lawrence Weiner,moma 1969,education 2012,
mta,Sam Gilliam,moma 1969,mta 1991,
mta,Sol LeWitt,moma 1969,mta 2009,
public,Sol LeWitt,moma 1969,public 2008,yes
public,Stephen Antonakos,moma 1969,public 1990,yes
public,Melvin Edwards,moma 1970,public 1995,yes
mta,Yayoi Kusama,moma 1970,mta 2022,
mta,Alan Sonfist,moma 1971,mta 1993,
public,Rafael Ferrer,moma 1971,public 1979,
mta,Chuck Close,moma 1972,mta 2017,
mta,Joyce Kozloff,moma 1972,mta 2018,
percent,Joyce Kozloff,moma 1972,percent 1991,yes
public,Richard Haas,moma 1974,public 1989,yes
public,Richard Haas,moma 1974,public 1989,yes
public,Richard Haas,moma 1974,public 1989,yes
public,Seena Donneson,moma 1974,public 1980,
education,Vito Acconci,moma 1974,education 1995,yes
mta,Vito Acconci,moma 1974,mta 2002,
mta,Vito Acconci,moma 1974,mta 2005,
public,Vito Acconci,moma 1974,public 2010,yes
education,David Freed,moma 1975,education 1982,
education,Eldzier Cortor,moma 1975,education 1976,
education,Emma Amos,moma 1975,education 1994,yes
public,Robert Graham,moma 1975,public 1997,
education,Susan Kaprov,moma 1975,education 1985,
mta,Vincent Smith,moma 1975,mta 1999,
mta,William Wegman,moma 1975,mta 2018,
education,Ben Schonzeit,moma 1976,education 1994,
education,Ben Schonzeit,moma 1976,education 1996,
percent,Ben Schonzeit,moma 1976,percent 1996,yes
percent,Pat Steir,moma 1976,percent 1992,yes
public,Bryan Hunt,moma 1977,public 2006,
mta,Joe Zucker,moma 1977,mta 1998,
mta,Robert Wilson,moma 1977,mta 2004,
mta,Yoko Ono,moma 1977,mta 2018,
public,Alice Aycock,moma 1978,public 1992,yes
public,Alice Aycock,moma 1978,public 1995,
percent,Jennifer Bartlett,moma 1978,percent 2000,yes
mta,Jackie Ferrara,moma 1979,mta 2000,
percent,Jackie Ferrara,moma 1979,percent 2001,yes
public,Jackie Ferrara,moma 1979,public 2001,
mta,Nancy Holt,moma 1979,mta 1987,
education,Lorie Novak,moma 1980,education 1983,
public,Scott Burton,moma 1981,public 1994,yes
mta,Sydney Cash,moma 1981,mta 2000,
education,Tony Oursler,moma 1981,education 2009,yes
education,Tony Oursler,moma 1981,education 2009,yes
education,Tony Oursler,moma 1981,education 2009,yes
education,Tony Oursler,moma 1981,education 2009,yes
mta,Eric Fischl,moma 1982,mta 2001,
public,Eric Fischl,moma 1982,public 2000,
mta,Robert Kushner,moma 1982,mta 2004,
mta,Valerie Jaudon,moma 1982,mta 1988,
public,Valerie Jaudon,moma 1982,public 1989,yes
education,Alice Adams,moma 1983,education 1993,yes
mta,Alice Adams,moma 1983,mta 1995,
mta,Elizabeth Murray,moma 1983,mta 1996,
mta,Elizabeth Murray,moma 1983,mta 2001,
education,Matt Mullican,moma 1983,education 2003,yes
education,Matt Mullican,moma 1983,education 2003,
mta,Matt Mullican,moma 1983,mta 1989,
mta,Matt Mullican,moma 1983,mta 2011,
public,Matt Mullican,moma 1983,public 1995,yes
public,Matthew Geller,moma 1983,public 2017,
mta,Jane Dickson,moma 1984,mta 2008,
education,Michelle Stuart,moma 1984,education 1990,yes
mta,Nancy Spero,moma 1984,mta 2001,
mta,Kiki Smith,moma 1985,mta 2022,
public,Philip Johnson,moma 1985,public 1999,
public,Jenny Holzer,moma 1986,public 2016,
education,Justen Ladda,moma 1986,education 1995,yes
percent,Justen Ladda,moma 1986,percent 1991,yes
mta,David Storey,moma 1987,mta 2019,
education,Evergon,moma 1987,education 1988,
education,Evergon,moma 1987,education 1988,
percent,Allan McCollum,moma 1988,percent 2016,yes
mta,David Saunders,moma 1988,mta 1992,
percent,David Saunders,moma 1988,percent 1994,yes
public,David Saunders,moma 1988,public 1994,
public,Elizabeth Catlett,moma 1988,public 2003,
mta,Mary Miss,moma 1988,mta 1998,
public,Mary Miss,moma 1988,public 2012,
mta,R. M. Fischer,moma 1988,mta 1992,
education,Tom Otterness,moma 1989,moma 2004,
education,Tom Otterness,moma 1989,education 1990,
mta,Tom Otterness,moma 1989,mta 2001,
public,Tom Otterness,moma 1989,public 2005,
public,Tom Otterness,moma 1989,public 2007,
education,Dennis Adams,moma 1990,education 1995,yes
education,Carrie Mae Weems,moma 1991,education 1999,yes
education,Art Spiegelman,moma 1992,education 2012,
education,James Casebere,moma 1992,education 2005,
education,James Casebere,moma 1992,education 2006,yes
education,James Casebere,moma 1992,education 2006,
education,Mac Adams,moma 1992,education 1996,yes
public,Santiago Calatrava,moma 1992,public 2000,
public,Alison Saar,moma 1993,public 2008,yes
mta,Anton van Dalen,moma 1993,mta 1997,
education,Faith Ringgold,moma 1993,education 1994,yes
mta,Faith Ringgold,moma 1993,mta 1996,
education,John Fekner,moma 1993,education 1999,yes
education,John Fekner,moma 1993,education 1999,
mta,Margaret Lanzetta,moma 1993,mta 2007,
education,Martin Wong,moma 1993,education 1994,yes
education,Martin Wong,moma 1993,education 1994,
education,Martin Wong,moma 1993,education 1994,
education,Paula Scher,moma 1993,education 2010,yes
education,Paula Scher,moma 1993,education 2010,yes
education,Willie Cole,moma 1993,education 1996,yes
mta,Ann Hamilton,moma 1994,mta 2018,
education,Mel Chin,moma 1994,education 1995,yes
mta,Mel Chin,moma 1994,mta 1997,
percent,Yong Soon Min,moma 1994,percent 1998,yes
public,Elyn Zimmerman,moma 1995,public 2009,
public,Willie Birch,moma 1996,public 1997,yes
mta,Alyson Shotz,moma 1997,mta 2013,
percent,Vera Lutter,moma 1997,percent 2003,yes
mta,Vik Muniz,moma 1997,mta 2017,
percent,Jill Baroff,moma 1998,percent 2006,yes
education,Luca Buvoli,moma 1998,education 2004,yes
mta,Stephen Westfall,moma 1998,mta 2018,
education,Terry Adkins,moma 1998,education 2000,
mta,Terry Adkins,moma 1998,mta 1999,
public,Cai Guo-Qiang,moma 1999,public 2007,yes
education,Sarah Sze,moma 1999,education 2010,yes
mta,Sarah Sze,moma 1999,mta 2017,
public,Nari Ward,moma 2000,public 2009,yes
public,Nari Ward,moma 2000,public 2009,
public,Nari Ward,moma 2000,public 2009,
percent,Ingrid Calame,moma 2001,percent 2005,yes
mta,Jim Hodges,moma 2001,mta 2021,
mta,Sarah Morris,moma 2001,mta 2018,
percent,Sarah Morris,moma 2001,percent 2009,yes
mta,Jason Middlebrook,moma 2002,mta 2011,
mta,Marcel Dzama,moma 2004,mta 2021,
education,David Opdyke,moma 2005,education 2010,
percent,David Opdyke,moma 2005,percent 2011,yes
percent,Lane Twitchell,moma 2005,percent 2011,yes
percent,Sebastiaan Bremer,moma 2005,percent 2006,yes
education,Tobias Putrih,moma 2005,education 2012,yes
public,Xu Bing,moma 2005,public 2015,
mta,Mark Fox,moma 2006,mta 2021,
percent,Michael Rakowitz,moma 2006,percent 2009,yes
mta,Leo Villareal,moma 2008,mta 2012,
mta,Mickalene Thomas,moma 2009,mta 2017,
mta,Nick Cave,moma 2012,mta 2021,
mta,Alison Saar,mta 1991,moma 1993,
mta,Willie Birch,mta 1995,moma 1996,
mta,Maren Hassinger,mta 1998,moma 2018,
mta,Al Loving,mta 2001,moma 2013,
mta,Max Neuhaus,mta 2002,moma 2008,
mta,Robert Blackburn,mta 2005,moma 2015,
mta,Olalekan Jeyifous,mta 2019,moma 2021,
mta,Jeffrey Gibson,mta 2020,moma 2021,
percent,Toshio Sasaki,percent 1992,moma 2013,yes
percent,Fred Tomaselli,percent 1996,moma 1997,yes
percent,Ursula von Rydingsvard,percent 2003,moma 2006,yes
public,Keith Haring,public 1986,moma 1989,
public,David Saunders,public 1987,moma 1988,
public,Keith Haring,public 1987,moma 1989,
public,Mac Adams,public 1991,moma 1992,
public,Toshio Sasaki,public 1993,moma 2013,
public,Toshio Sasaki,public 2007,moma 2013,yes
